season,gameid,gamedate,hometeamcity,hometeamname,awayteamcity,awayteamname,status_text,played
2025-2026,0022500987,2026-03-16,Chicago,Bulls,Memphis,Grizzlies,8:00 pm ET,False
2025-2026,0022500991,2026-03-17,Charlotte,Hornets,Miami,Heat,7:00 pm ET,False
2025-2026,0022500992,2026-03-17,Orlando,Magic,Oklahoma City,Thunder,7:00 pm ET,False
2025-2026,0022500993,2026-03-17,Washington,Wizards,Detroit,Pistons,7:00 pm ET,False
2025-2026,0022500994,2026-03-17,New York,Knicks,Indiana,Pacers,7:30 pm ET,False
2025-2026,0022500995,2026-03-17,Milwaukee,Bucks,Cleveland,Cavaliers,8:00 pm ET,False
2025-2026,0022500996,2026-03-17,Minnesota,Timberwolves,Phoenix,Suns,8:00 pm ET,False
2025-2026,0022500997,2026-03-17,Denver,Nuggets,Philadelphia,76ers,9:00 pm ET,False
2025-2026,0022500998,2026-03-17,Sacramento,Kings,San Antonio,Spurs,11:00 pm ET,False
2025-2026,0022501004,2026-03-18,Minnesota,Timberwolves,Utah,Jazz,8:00 pm ET,False
2025-2026,0022501006,2026-03-18,Dallas,Mavericks,Atlanta,Hawks,8:30 pm ET,False
2025-2026,0022501005,2026-03-18,New Orleans,Pelicans,LA,Clippers,8:00 pm ET,False
2025-2026,0022501007,2026-03-18,Houston,Rockets,Los Angeles,Lakers,9:30 pm ET,False
2025-2026,0022501003,2026-03-18,Memphis,Grizzlies,New York,Knicks,8:00 pm ET,False
2025-2026,0022501001,2026-03-18,Indiana,Pacers,Portland,Trail Blazers,7:30 pm ET,False
2025-2026,0022501000,2026-03-18,Brooklyn,Nets,Oklahoma City,Thunder,7:30 pm ET,False
2025-2026,0022500999,2026-03-18,Boston,Celtics,San Francisco,Warriors,7:00 pm ET,False
2025-2026,0022501002,2026-03-18,Chicago,Bulls,Toronto,Raptors,8:00 pm ET,False
2025-2026,0022501014,2026-03-19,Utah,Jazz,Milwaukee,Bucks,9:00 pm ET,False
2025-2026,0022501013,2026-03-19,San Antonio,Spurs,Phoenix,Suns,8:00 pm ET,False
2025-2026,0022501012,2026-03-19,New Orleans,Pelicans,LA,Clippers,8:00 pm ET,False
2025-2026,0022501015,2026-03-19,Sacramento,Kings,Philadelphia,76ers,10:00 pm ET,False
2025-2026,0022501010,2026-03-19,Miami,Heat,Los Angeles,Lakers,8:00 pm ET,False
2025-2026,0022501009,2026-03-19,Washington,Wizards,Detroit,Pistons,7:00 pm ET,False
2025-2026,0022501008,2026-03-19,Charlotte,Hornets,Orlando,Magic,7:00 pm ET,False
2025-2026,0022501011,2026-03-19,Chicago,Bulls,Cleveland,Cavaliers,8:00 pm ET,False
2025-2026,0022501016,2026-03-20,Brooklyn,Nets,New York,Knicks,7:30 pm ET,False
2025-2026,0022501017,2026-03-20,Detroit,Pistons,San Francisco,Warriors,7:30 pm ET,False
2025-2026,0022501018,2026-03-20,Houston,Rockets,Atlanta,Hawks,8:00 pm ET,False
2025-2026,0022501019,2026-03-20,Memphis,Grizzlies,Boston,Celtics,8:00 pm ET,False
2025-2026,0022501020,2026-03-20,Minnesota,Timberwolves,Portland,Trail Blazers,8:00 pm ET,False
2025-2026,0022501021,2026-03-20,Denver,Nuggets,Toronto,Raptors,9:00 pm ET,False
2025-2026,0022501028,2026-03-21,San Antonio,Spurs,Indiana,Pacers,8:00 pm ET,False
2025-2026,0022501031,2026-03-21,Phoenix,Suns,Milwaukee,Bucks,10:00 pm ET,False
2025-2026,0022501030,2026-03-21,Utah,Jazz,Philadelphia,76ers,9:30 pm ET,False
2025-2026,0022501029,2026-03-21,Dallas,Mavericks,LA,Clippers,8:30 pm ET,False
2025-2026,0022501027,2026-03-21,Houston,Rockets,Miami,Heat,8:00 pm ET,False
2025-2026,0022501022,2026-03-21,Washington,Wizards,Oklahoma City,Thunder,5:00 pm ET,False
2025-2026,0022501025,2026-03-21,New Orleans,Pelicans,Cleveland,Cavaliers,7:00 pm ET,False
2025-2026,0022501024,2026-03-21,Orlando,Magic,Los Angeles,Lakers,7:00 pm ET,False
2025-2026,0022501023,2026-03-21,Charlotte,Hornets,Memphis,Grizzlies,7:00 pm ET,False
2025-2026,0022501026,2026-03-21,Atlanta,Hawks,San Francisco,Warriors,8:00 pm ET,False
2025-2026,0022501032,2026-03-22,Denver,Nuggets,Portland,Trail Blazers,5:00 pm ET,False
2025-2026,0022501033,2026-03-22,Sacramento,Kings,Brooklyn,Nets,6:00 pm ET,False
2025-2026,0022501034,2026-03-22,New York,Knicks,Washington,Wizards,7:30 pm ET,False
2025-2026,0022501035,2026-03-22,Boston,Celtics,Minnesota,Timberwolves,8:00 pm ET,False
2025-2026,0022501036,2026-03-22,Phoenix,Suns,Toronto,Raptors,9:00 pm ET,False
2025-2026,0022501046,2026-03-23,LA,Clippers,Milwaukee,Bucks,10:30 pm ET,False
2025-2026,0022501045,2026-03-23,Portland,Trail Blazers,Brooklyn,Nets,10:00 pm ET,False
2025-2026,0022501044,2026-03-23,Dallas,Mavericks,San Francisco,Warriors,9:30 pm ET,False
2025-2026,0022501043,2026-03-23,Utah,Jazz,Toronto,Raptors,9:00 pm ET,False
2025-2026,0022501042,2026-03-23,Chicago,Bulls,Houston,Rockets,8:00 pm ET,False
2025-2026,0022501040,2026-03-23,Philadelphia,76ers,Oklahoma City,Thunder,7:00 pm ET,False
2025-2026,0022501039,2026-03-23,Orlando,Magic,Indiana,Pacers,7:00 pm ET,False
2025-2026,0022501038,2026-03-23,Detroit,Pistons,Los Angeles,Lakers,7:00 pm ET,False
2025-2026,0022501037,2026-03-23,Atlanta,Hawks,Memphis,Grizzlies,7:00 pm ET,False
2025-2026,0022501041,2026-03-23,Miami,Heat,San Antonio,Spurs,7:30 pm ET,False
2025-2026,0022501047,2026-03-24,Charlotte,Hornets,Sacramento,Kings,7:00 pm ET,False
2025-2026,0022501048,2026-03-24,New York,Knicks,New Orleans,Pelicans,7:30 pm ET,False
2025-2026,0022501049,2026-03-24,Cleveland,Cavaliers,Orlando,Magic,8:00 pm ET,False
2025-2026,0022501050,2026-03-24,Phoenix,Suns,Denver,Nuggets,11:00 pm ET,False
2025-2026,0022501061,2026-03-25,Portland,Trail Blazers,Milwaukee,Bucks,10:00 pm ET,False
2025-2026,0022501060,2026-03-25,San Francisco,Warriors,Brooklyn,Nets,10:00 pm ET,False
2025-2026,0022501059,2026-03-25,Denver,Nuggets,Dallas,Mavericks,10:00 pm ET,False
2025-2026,0022501058,2026-03-25,Minnesota,Timberwolves,Houston,Rockets,9:30 pm ET,False
2025-2026,0022501057,2026-03-25,Utah,Jazz,Washington,Wizards,9:00 pm ET,False
2025-2026,0022501053,2026-03-25,Philadelphia,76ers,Chicago,Bulls,7:00 pm ET,False
2025-2026,0022501055,2026-03-25,Cleveland,Cavaliers,Miami,Heat,7:30 pm ET,False
2025-2026,0022501054,2026-03-25,Boston,Celtics,Oklahoma City,Thunder,7:30 pm ET,False
2025-2026,0022501062,2026-03-25,LA,Clippers,Toronto,Raptors,10:30 pm ET,False
2025-2026,0022501052,2026-03-25,Indiana,Pacers,Los Angeles,Lakers,7:00 pm ET,False
2025-2026,0022501051,2026-03-25,Detroit,Pistons,Atlanta,Hawks,7:00 pm ET,False
2025-2026,0022501056,2026-03-25,Memphis,Grizzlies,San Antonio,Spurs,8:00 pm ET,False
2025-2026,0022501065,2026-03-26,Orlando,Magic,Sacramento,Kings,7:00 pm ET,False
2025-2026,0022501064,2026-03-26,Detroit,Pistons,New Orleans,Pelicans,7:00 pm ET,False
2025-2026,0022501063,2026-03-26,Charlotte,Hornets,New York,Knicks,7:00 pm ET,False
2025-2026,0022501074,2026-03-27,Portland,Trail Blazers,Dallas,Mavericks,10:00 pm ET,False
2025-2026,0022501073,2026-03-27,San Francisco,Warriors,Washington,Wizards,10:00 pm ET,False
2025-2026,0022501072,2026-03-27,Denver,Nuggets,Utah,Jazz,9:00 pm ET,False
2025-2026,0022501071,2026-03-27,Toronto,Raptors,New Orleans,Pelicans,8:30 pm ET,False
2025-2026,0022501075,2026-03-27,Los Angeles,Lakers,Brooklyn,Nets,10:30 pm ET,False
2025-2026,0022501069,2026-03-27,Memphis,Grizzlies,Houston,Rockets,8:00 pm ET,False
2025-2026,0022501068,2026-03-27,Cleveland,Cavaliers,Miami,Heat,7:30 pm ET,False
2025-2026,0022501067,2026-03-27,Boston,Celtics,Atlanta,Hawks,7:30 pm ET,False
2025-2026,0022501066,2026-03-27,Indiana,Pacers,LA,Clippers,7:00 pm ET,False
2025-2026,0022501070,2026-03-27,Oklahoma City,Thunder,Chicago,Bulls,8:00 pm ET,False
2025-2026,0022501076,2026-03-28,Milwaukee,Bucks,San Antonio,Spurs,3:00 pm ET,False
2025-2026,0022501077,2026-03-28,Charlotte,Hornets,Philadelphia,76ers,6:00 pm ET,False
2025-2026,0022501078,2026-03-28,Atlanta,Hawks,Sacramento,Kings,7:30 pm ET,False
2025-2026,0022501079,2026-03-28,Memphis,Grizzlies,Chicago,Bulls,8:00 pm ET,False
2025-2026,0022501080,2026-03-28,Minnesota,Timberwolves,Detroit,Pistons,8:00 pm ET,False
2025-2026,0022501081,2026-03-28,Phoenix,Suns,Utah,Jazz,10:00 pm ET,False
2025-2026,0022501088,2026-03-29,New Orleans,Pelicans,Houston,Rockets,7:00 pm ET,False
2025-2026,0022501090,2026-03-29,Denver,Nuggets,San Francisco,Warriors,10:00 pm ET,False
2025-2026,0022501089,2026-03-29,Oklahoma City,Thunder,New York,Knicks,7:30 pm ET,False
2025-2026,0022501087,2026-03-29,Portland,Trail Blazers,Washington,Wizards,6:00 pm ET,False
2025-2026,0022501083,2026-03-29,Indiana,Pacers,Miami,Heat,5:00 pm ET,False
2025-2026,0022501085,2026-03-29,Charlotte,Hornets,Boston,Celtics,6:00 pm ET,False
2025-2026,0022501084,2026-03-29,Brooklyn,Nets,Sacramento,Kings,6:00 pm ET,False
2025-2026,0022501086,2026-03-29,Toronto,Raptors,Orlando,Magic,6:00 pm ET,False
2025-2026,0022501082,2026-03-29,Milwaukee,Bucks,LA,Clippers,3:30 pm ET,False
2025-2026,0022501098,2026-03-30,Los Angeles,Lakers,Washington,Wizards,10:00 pm ET,False
2025-2026,0022501096,2026-03-30,Utah,Jazz,Cleveland,Cavaliers,9:00 pm ET,False
2025-2026,0022501095,2026-03-30,Dallas,Mavericks,Minnesota,Timberwolves,8:30 pm ET,False
2025-2026,0022501097,2026-03-30,Oklahoma City,Thunder,Detroit,Pistons,9:30 pm ET,False
2025-2026,0022501093,2026-03-30,Memphis,Grizzlies,Phoenix,Suns,8:00 pm ET,False
2025-2026,0022501092,2026-03-30,Atlanta,Hawks,Boston,Celtics,7:30 pm ET,False
2025-2026,0022501091,2026-03-30,Miami,Heat,Philadelphia,76ers,7:00 pm ET,False
2025-2026,0022501094,2026-03-30,San Antonio,Spurs,Chicago,Bulls,8:00 pm ET,False
2025-2026,0022501099,2026-03-31,Orlando,Magic,Phoenix,Suns,7:00 pm ET,False
2025-2026,0022501100,2026-03-31,Brooklyn,Nets,Charlotte,Hornets,7:30 pm ET,False
2025-2026,0022501101,2026-03-31,Detroit,Pistons,Toronto,Raptors,8:00 pm ET,False
2025-2026,0022501102,2026-03-31,Houston,Rockets,New York,Knicks,8:00 pm ET,False
2025-2026,0022501103,2026-03-31,Los Angeles,Lakers,Cleveland,Cavaliers,10:30 pm ET,False
2025-2026,0022501104,2026-03-31,LA,Clippers,Portland,Trail Blazers,11:00 pm ET,False
2025-2026,0022501111,2026-04-01,Memphis,Grizzlies,Dallas,Mavericks,8:00 pm ET,False
2025-2026,0022501113,2026-04-01,San Francisco,Warriors,San Antonio,Spurs,10:00 pm ET,False
2025-2026,0022501112,2026-04-01,Utah,Jazz,Denver,Nuggets,9:00 pm ET,False
2025-2026,0022501110,2026-04-01,Houston,Rockets,Milwaukee,Bucks,8:00 pm ET,False
2025-2026,0022501105,2026-04-01,Washington,Wizards,Philadelphia,76ers,7:00 pm ET,False
2025-2026,0022501108,2026-04-01,Toronto,Raptors,Sacramento,Kings,8:00 pm ET,False
2025-2026,0022501107,2026-04-01,Orlando,Magic,Atlanta,Hawks,7:30 pm ET,False
2025-2026,0022501106,2026-04-01,Miami,Heat,Boston,Celtics,7:30 pm ET,False
2025-2026,0022501109,2026-04-01,Chicago,Bulls,Indiana,Pacers,8:00 pm ET,False
2025-2026,0022501114,2026-04-02,Charlotte,Hornets,Phoenix,Suns,7:00 pm ET,False
2025-2026,0022501115,2026-04-02,Detroit,Pistons,Minnesota,Timberwolves,7:00 pm ET,False
2025-2026,0022501116,2026-04-02,Oklahoma City,Thunder,Los Angeles,Lakers,7:30 pm ET,False
2025-2026,0022501117,2026-04-02,San Francisco,Warriors,Cleveland,Cavaliers,10:00 pm ET,False
2025-2026,0022501118,2026-04-02,Portland,Trail Blazers,New Orleans,Pelicans,10:00 pm ET,False
2025-2026,0022501119,2026-04-02,LA,Clippers,San Antonio,Spurs,10:30 pm ET,False
2025-2026,0022501126,2026-04-03,Milwaukee,Bucks,Boston,Celtics,8:00 pm ET,False
2025-2026,0022501127,2026-04-03,Dallas,Mavericks,Orlando,Magic,8:30 pm ET,False
2025-2026,0022501128,2026-04-03,Sacramento,Kings,New Orleans,Pelicans,10:00 pm ET,False
2025-2026,0022501125,2026-04-03,Memphis,Grizzlies,Toronto,Raptors,8:00 pm ET,False
2025-2026,0022501121,2026-04-03,Philadelphia,76ers,Minnesota,Timberwolves,7:00 pm ET,False
2025-2026,0022501123,2026-04-03,New York,Knicks,Chicago,Bulls,7:30 pm ET,False
2025-2026,0022501122,2026-04-03,Brooklyn,Nets,Atlanta,Hawks,7:30 pm ET,False
2025-2026,0022501120,2026-04-03,Charlotte,Hornets,Indiana,Pacers,7:00 pm ET,False
2025-2026,0022501124,2026-04-03,Houston,Rockets,Utah,Jazz,8:00 pm ET,False
2025-2026,0022501129,2026-04-04,Miami,Heat,Washington,Wizards,3:00 pm ET,False
2025-2026,0022501130,2026-04-04,Denver,Nuggets,San Antonio,Spurs,3:00 pm ET,False
2025-2026,0022501131,2026-04-04,Philadelphia,76ers,Detroit,Pistons,7:00 pm ET,False
2025-2026,0022501141,2026-04-05,Sacramento,Kings,LA,Clippers,9:00 pm ET,False
2025-2026,0022501140,2026-04-05,Dallas,Mavericks,Los Angeles,Lakers,7:30 pm ET,False
2025-2026,0022501139,2026-04-05,Oklahoma City,Thunder,Utah,Jazz,7:00 pm ET,False
2025-2026,0022501138,2026-04-05,New Orleans,Pelicans,Orlando,Magic,7:00 pm ET,False
2025-2026,0022501137,2026-04-05,Minnesota,Timberwolves,Charlotte,Hornets,7:00 pm ET,False
2025-2026,0022501142,2026-04-05,San Francisco,Warriors,Houston,Rockets,10:00 pm ET,False
2025-2026,0022501135,2026-04-05,Milwaukee,Bucks,Memphis,Grizzlies,3:30 pm ET,False
2025-2026,0022501134,2026-04-05,Chicago,Bulls,Phoenix,Suns,3:30 pm ET,False
2025-2026,0022501133,2026-04-05,Brooklyn,Nets,Washington,Wizards,3:30 pm ET,False
2025-2026,0022501132,2026-04-05,Boston,Celtics,Toronto,Raptors,3:30 pm ET,False
2025-2026,0022501136,2026-04-05,Cleveland,Cavaliers,Indiana,Pacers,6:00 pm ET,False
2025-2026,0022501143,2026-04-06,Atlanta,Hawks,New York,Knicks,7:00 pm ET,False
2025-2026,0022501144,2026-04-06,Orlando,Magic,Detroit,Pistons,7:00 pm ET,False
2025-2026,0022501145,2026-04-06,Memphis,Grizzlies,Cleveland,Cavaliers,8:00 pm ET,False
2025-2026,0022501146,2026-04-06,San Antonio,Spurs,Philadelphia,76ers,8:00 pm ET,False
2025-2026,0022501147,2026-04-06,Denver,Nuggets,Portland,Trail Blazers,9:00 pm ET,False
2025-2026,0022501157,2026-04-07,Phoenix,Suns,Houston,Rockets,11:00 pm ET,False
2025-2026,0022501156,2026-04-07,LA,Clippers,Dallas,Mavericks,10:30 pm ET,False
2025-2026,0022501155,2026-04-07,Los Angeles,Lakers,Oklahoma City,Thunder,10:30 pm ET,False
2025-2026,0022501154,2026-04-07,San Francisco,Warriors,Sacramento,Kings,10:00 pm ET,False
2025-2026,0022501153,2026-04-07,New Orleans,Pelicans,Utah,Jazz,8:00 pm ET,False
2025-2026,0022501149,2026-04-07,Boston,Celtics,Charlotte,Hornets,7:30 pm ET,False
2025-2026,0022501151,2026-04-07,Toronto,Raptors,Miami,Heat,7:30 pm ET,False
2025-2026,0022501150,2026-04-07,Brooklyn,Nets,Milwaukee,Bucks,7:30 pm ET,False
2025-2026,0022501148,2026-04-07,Washington,Wizards,Chicago,Bulls,7:00 pm ET,False
2025-2026,0022501152,2026-04-07,Indiana,Pacers,Minnesota,Timberwolves,8:00 pm ET,False
2025-2026,0022501164,2026-04-08,Phoenix,Suns,Dallas,Mavericks,10:00 pm ET,False
2025-2026,0022501163,2026-04-08,LA,Clippers,Oklahoma City,Thunder,10:00 pm ET,False
2025-2026,0022501161,2026-04-08,San Antonio,Spurs,Portland,Trail Blazers,8:00 pm ET,False
2025-2026,0022501162,2026-04-08,Denver,Nuggets,Memphis,Grizzlies,9:00 pm ET,False
2025-2026,0022501159,2026-04-08,Orlando,Magic,Minnesota,Timberwolves,7:00 pm ET,False
2025-2026,0022501158,2026-04-08,Cleveland,Cavaliers,Atlanta,Hawks,7:00 pm ET,False
2025-2026,0022501160,2026-04-08,Detroit,Pistons,Milwaukee,Bucks,7:30 pm ET,False
2025-2026,0022501165,2026-04-09,Toronto,Raptors,Miami,Heat,7:00 pm ET,False
2025-2026,0022501166,2026-04-09,Washington,Wizards,Chicago,Bulls,7:00 pm ET,False
2025-2026,0022501167,2026-04-09,Brooklyn,Nets,Indiana,Pacers,7:30 pm ET,False
2025-2026,0022501168,2026-04-09,New York,Knicks,Boston,Celtics,7:30 pm ET,False
2025-2026,0022501169,2026-04-09,Houston,Rockets,Philadelphia,76ers,8:00 pm ET,False
2025-2026,0022501170,2026-04-09,San Francisco,Warriors,Los Angeles,Lakers,10:00 pm ET,False
2025-2026,0022501185,2026-04-10,Los Angeles,Lakers,Phoenix,Suns,10:30 pm ET,False
2025-2026,0022501184,2026-04-10,Sacramento,Kings,San Francisco,Warriors,10:00 pm ET,False
2025-2026,0022501183,2026-04-10,Portland,Trail Blazers,LA,Clippers,10:00 pm ET,False
2025-2026,0022501182,2026-04-10,Denver,Nuggets,Oklahoma City,Thunder,10:00 pm ET,False
2025-2026,0022501180,2026-04-10,San Antonio,Spurs,Dallas,Mavericks,8:00 pm ET,False
2025-2026,0022501179,2026-04-10,Milwaukee,Bucks,Brooklyn,Nets,8:00 pm ET,False
2025-2026,0022501178,2026-04-10,Houston,Rockets,Minnesota,Timberwolves,8:00 pm ET,False
2025-2026,0022501181,2026-04-10,Utah,Jazz,Memphis,Grizzlies,9:30 pm ET,False
2025-2026,0022501176,2026-04-10,New York,Knicks,Toronto,Raptors,7:30 pm ET,False
2025-2026,0022501175,2026-04-10,Indiana,Pacers,Philadelphia,76ers,7:30 pm ET,False
2025-2026,0022501174,2026-04-10,Boston,Celtics,New Orleans,Pelicans,7:30 pm ET,False
2025-2026,0022501173,2026-04-10,Atlanta,Hawks,Cleveland,Cavaliers,7:30 pm ET,False
2025-2026,0022501172,2026-04-10,Washington,Wizards,Miami,Heat,7:00 pm ET,False
2025-2026,0022501171,2026-04-10,Charlotte,Hornets,Detroit,Pistons,7:00 pm ET,False
2025-2026,0022501177,2026-04-10,Chicago,Bulls,Orlando,Magic,8:00 pm ET,False
2025-2026,0022501198,2026-04-12,Los Angeles,Lakers,Utah,Jazz,8:30 pm ET,False
2025-2026,0022501197,2026-04-12,San Antonio,Spurs,Denver,Nuggets,8:30 pm ET,False
2025-2026,0022501196,2026-04-12,Oklahoma City,Thunder,Phoenix,Suns,8:30 pm ET,False
2025-2026,0022501195,2026-04-12,Minnesota,Timberwolves,New Orleans,Pelicans,8:30 pm ET,False
2025-2026,0022501194,2026-04-12,Houston,Rockets,Memphis,Grizzlies,8:30 pm ET,False
2025-2026,0022501193,2026-04-12,Dallas,Mavericks,Chicago,Bulls,8:30 pm ET,False
2025-2026,0022501189,2026-04-12,Miami,Heat,Atlanta,Hawks,6:00 pm ET,False
2025-2026,0022501191,2026-04-12,Philadelphia,76ers,Milwaukee,Bucks,6:00 pm ET,False
2025-2026,0022501190,2026-04-12,New York,Knicks,Charlotte,Hornets,6:00 pm ET,False
2025-2026,0022501188,2026-04-12,Indiana,Pacers,Detroit,Pistons,6:00 pm ET,False
2025-2026,0022501187,2026-04-12,Cleveland,Cavaliers,Washington,Wizards,6:00 pm ET,False
2025-2026,0022501186,2026-04-12,Boston,Celtics,Orlando,Magic,6:00 pm ET,False
2025-2026,0022501199,2026-04-12,LA,Clippers,San Francisco,Warriors,8:30 pm ET,False
2025-2026,0022501192,2026-04-12,Toronto,Raptors,Brooklyn,Nets,6:00 pm ET,False
2025-2026,0022501200,2026-04-12,Portland,Trail Blazers,Sacramento,Kings,8:30 pm ET,False
