season,teamName,teamScore,assists,reboundsDefensive,reboundsOffensive,reboundsTotal,steals,blocks,turnovers,foulsPersonal,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,plusMinusPoints
1985-1986,Bulls,109.42,24.2,27.68,15.6,43.28,7.46,4.84,17.05,26.54,42.4,88.28,0.48,1.06,3.79,0.28,23.56,30.64,0.77,-4.15
1985-1986,Cavaliers,107.76,25.21,29.9,13.27,43.17,7.65,5.32,16.99,27.65,42.41,88.22,0.48,1.61,4.79,0.33,21.32,28.35,0.75,-2.87
1985-1986,Celtics,114.19,28.92,33.28,12.9,46.18,8.0,6.2,16.04,21.59,45.09,88.72,0.51,1.83,5.08,0.33,22.18,27.93,0.79,9.58
1985-1986,Clippers,108.62,24.0,27.54,14.13,41.67,8.45,6.11,17.91,23.55,41.32,87.38,0.47,0.78,2.79,0.23,25.21,32.71,0.77,-6.35
1985-1986,Hawks,108.85,24.84,29.47,14.98,44.45,8.8,5.27,17.29,26.42,42.18,85.9,0.49,0.43,2.08,0.23,24.07,32.89,0.73,1.85
1985-1986,Jazz,107.94,26.78,30.07,13.14,43.21,8.62,8.03,17.91,24.83,42.15,86.52,0.49,0.45,2.07,0.2,23.19,32.37,0.72,-0.55
1985-1986,Kings,108.38,27.78,28.81,14.15,42.96,7.35,4.76,18.32,25.92,42.91,88.09,0.49,0.38,1.66,0.24,22.19,28.53,0.78,-2.79
1985-1986,Knicks,98.72,22.88,26.48,13.16,39.63,8.68,3.76,17.17,26.96,39.5,85.79,0.46,1.0,2.91,0.34,18.71,27.28,0.69,-5.61
1985-1986,Lakers,117.03,30.01,30.95,13.29,44.24,8.45,4.99,17.39,24.67,46.85,89.41,0.53,1.7,5.06,0.34,21.62,27.89,0.78,7.73
1985-1986,Mavericks,114.79,25.63,29.76,13.0,42.76,7.29,4.35,15.32,21.17,44.1,88.29,0.5,1.86,5.49,0.33,24.74,31.87,0.77,1.09
1985-1986,Nets,109.01,25.81,30.07,14.46,44.53,9.13,4.2,18.82,26.2,43.13,88.91,0.49,0.53,2.71,0.19,22.22,29.42,0.76,-2.28
1985-1986,Nuggets,114.73,25.9,28.35,15.09,43.43,9.75,5.05,15.71,26.5,45.03,95.97,0.47,0.98,3.89,0.21,23.68,29.68,0.8,0.8
