season,teamName,teamScore,assists,reboundsDefensive,reboundsOffensive,reboundsTotal,steals,blocks,turnovers,foulsPersonal,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,plusMinusPoints
1986-1987,Bulls,104.59,26.0,29.11,15.15,44.26,8.16,5.29,14.87,23.52,41.04,87.04,0.47,1.0,3.68,0.22,21.52,27.55,0.78,0.58
1986-1987,Cavaliers,104.37,23.3,29.51,15.33,44.84,8.2,6.82,19.39,22.59,40.84,86.87,0.47,0.99,4.12,0.19,21.7,31.15,0.69,-3.82
1986-1987,Celtics,112.74,28.92,31.1,11.43,42.52,6.53,6.11,15.3,21.38,44.05,85.67,0.52,2.47,6.87,0.34,22.18,27.44,0.81,5.21
1986-1987,Clippers,104.46,24.04,26.06,15.01,41.07,9.17,5.26,17.56,24.44,40.38,89.46,0.45,0.95,4.24,0.2,22.76,30.67,0.75,-10.88
1986-1987,Hawks,109.07,25.42,29.93,16.24,46.18,8.34,6.2,15.26,26.51,41.43,86.23,0.48,1.56,5.01,0.29,24.65,32.52,0.76,6.58
1986-1987,Jazz,107.45,27.01,29.83,14.57,44.4,10.15,7.71,16.85,24.78,42.22,91.23,0.46,1.75,5.52,0.31,21.26,29.2,0.73,0.3
1986-1987,Kings,110.91,26.65,29.77,15.63,45.4,6.33,4.84,16.77,24.48,42.95,90.4,0.48,0.94,3.74,0.24,24.07,30.23,0.8,-3.22
1986-1987,Knicks,103.76,23.67,26.39,13.48,39.87,8.56,4.78,17.09,24.73,40.6,85.65,0.48,1.52,4.43,0.3,21.04,28.8,0.73,-5.88
1986-1987,Lakers,118.26,29.44,30.89,13.61,44.5,8.7,5.95,16.01,22.61,45.46,87.88,0.52,2.07,5.65,0.38,25.27,32.05,0.79,9.68
1986-1987,Mavericks,116.66,24.45,30.34,14.88,45.22,8.3,5.13,14.52,22.76,43.83,89.88,0.49,2.72,7.88,0.34,26.29,33.35,0.79,6.15
1986-1987,Nets,108.45,24.28,29.37,14.22,43.59,7.84,4.82,19.48,28.67,41.15,86.33,0.48,1.77,5.46,0.31,24.39,31.79,0.76,-4.84
1986-1987,Nuggets,116.4,28.19,28.89,15.76,44.66,9.13,5.08,14.76,26.73,45.61,97.13,0.47,1.29,4.81,0.25,23.88,31.19,0.77,-1.31
1986-1987,Pacers,105.56,26.22,29.97,13.64,43.6,8.36,3.69,15.33,25.67,41.77,88.51,0.47,1.13,3.88,0.26,20.9,26.92,0.78,-0.76
1986-1987,Pistons,110.9,24.51,31.93,15.11,47.04,7.7,5.24,16.46,25.35,43.21,87.98,0.49,0.55,2.21,0.23,23.94,31.41,0.76,3.84
1986-1987,Rockets,107.2,26.95,30.14,14.47,44.61,7.78,6.79,16.63,24.25,42.13,87.99,0.48,1.05,3.99,0.24,21.88,29.37,0.75,1.07
1986-1987,Spurs,108.32,27.07,28.62,15.67,44.29,9.59,3.96,16.89,23.54,43.07,91.05,0.48,1.43,4.91,0.28,20.74,27.95,0.74,-4.89
1986-1987,Suns,111.11,28.67,28.85,13.57,42.43,8.57,4.84,17.85,24.96,43.6,87.61,0.5,0.74,3.07,0.18,23.17,30.48,0.76,-2.2
1986-1987,SuperSonics,113.2,26.7,28.85,16.82,45.68,8.59,5.32,17.44,27.46,43.72,91.25,0.48,2.3,6.91,0.33,23.46,31.01,0.76,0.35
1986-1987,Trail Blazers,117.47,28.49,29.33,14.43,43.76,9.33,4.66,18.5,25.47,44.31,88.3,0.5,1.19,4.12,0.3,27.65,35.7,0.78,2.78
1986-1987,Warriors,111.51,25.37,28.18,14.57,42.75,8.88,3.99,16.25,26.15,43.18,90.28,0.48,1.5,4.5,0.32,23.64,30.21,0.79,-2.37
1987-1988,76ers,105.7,23.13,28.13,14.87,43.0,8.2,5.67,16.98,22.76,39.2,82.74,0.48,1.85,5.74,0.34,25.45,33.3,0.76,-1.44
1987-1988,Bucks,106.21,26.63,28.45,13.76,42.21,8.09,4.56,15.24,24.16,40.98,86.15,0.48,1.61,5.01,0.32,22.64,29.23,0.78,0.44
1987-1988,Bullets,105.05,22.49,27.82,14.9,42.71,8.43,6.07,16.62,23.51,40.66,86.89,0.47,0.34,1.69,0.2,23.39,30.34,0.77,-0.95
1987-1988,Bulls,103.88,25.9,29.85,14.27,44.12,8.51,5.6,14.96,22.68,41.5,85.5,0.49,0.7,2.98,0.23,20.18,26.45,0.77,2.86
1987-1988,Cavaliers,104.23,25.16,27.94,12.36,40.3,8.76,6.41,16.98,22.22,40.38,82.28,0.49,1.52,4.14,0.38,21.95,29.54,0.74,0.62
1987-1988,Celtics,111.86,29.32,29.54,11.44,40.98,7.29,5.02,15.54,22.08,42.87,83.43,0.51,3.14,8.29,0.36,22.98,28.55,0.81,5.08
1987-1988,Clippers,98.82,22.99,28.66,14.52,43.18,8.79,6.34,18.3,23.27,38.9,87.73,0.45,0.96,3.87,0.25,20.05,28.11,0.72,-10.17
1987-1988,Hawks,107.95,25.31,28.63,14.67,43.3,7.72,6.36,14.35,25.15,42.06,86.36,0.49,1.05,3.57,0.29,22.77,29.59,0.77,3.32
1987-1988,Jazz,107.91,28.9,30.73,12.71,43.44,9.19,7.53,17.55,24.0,42.0,85.66,0.49,1.66,4.99,0.32,22.26,29.58,0.76,3.64
1987-1988,Kings,107.99,25.8,30.01,15.02,45.04,7.1,6.01,17.22,23.11,42.17,89.48,0.47,1.76,5.49,0.3,21.89,28.34,0.77,-5.76
1987-1988,Knicks,105.26,24.58,26.78,15.58,42.36,9.56,5.42,18.08,28.79,40.88,88.14,0.47,2.27,7.14,0.32,21.22,27.88,0.76,-0.99
1987-1988,Lakers,111.17,28.0,29.73,13.08,42.8,7.97,4.88,15.38,20.97,42.98,85.28,0.5,1.88,5.88,0.32,23.33,29.66,0.79,5.35
1987-1988,Mavericks,109.03,24.19,30.07,16.36,46.43,7.79,5.38,14.91,21.08,41.85,87.52,0.48,1.81,6.25,0.28,23.53,30.02,0.78,3.86
1987-1988,Nets,100.43,21.89,27.59,13.11,40.7,8.87,4.7,17.95,24.9,39.12,83.62,0.47,1.67,5.55,0.27,20.51,28.15,0.73,-8.11
1987-1988,Nuggets,116.04,27.35,29.47,14.29,43.76,9.75,4.88,13.83,24.24,45.51,96.6,0.47,2.42,7.33,0.34,22.61,28.02,0.81,3.31
1987-1988,Pacers,104.65,24.11,29.96,13.15,43.11,7.55,4.21,15.8,24.85,41.9,87.24,0.48,1.99,5.91,0.33,18.85,24.17,0.78,-0.79
1987-1988,Pistons,107.15,24.05,30.28,14.31,44.59,7.22,4.75,15.59,24.3,41.37,84.93,0.49,0.75,2.69,0.25,23.66,31.28,0.76,5.3
1987-1988,Rockets,108.76,23.43,30.72,15.15,45.87,8.65,6.03,16.28,22.73,42.1,89.52,0.47,0.91,3.67,0.23,23.64,30.24,0.78,1.76
1987-1988,Spurs,113.45,28.55,28.29,14.46,42.75,9.08,5.64,17.09,24.27,45.21,92.35,0.49,1.65,5.08,0.31,21.38,29.16,0.73,-4.88
1987-1988,Suns,108.55,28.44,29.01,13.57,42.59,8.23,4.3,16.89,24.94,43.3,89.05,0.49,1.44,4.35,0.29,20.5,26.83,0.77,-4.48
1987-1988,SuperSonics,111.56,26.25,28.37,15.89,44.25,9.21,5.37,16.17,29.07,43.38,90.68,0.48,2.67,7.78,0.34,22.14,29.7,0.75,2.19
1987-1988,Trail Blazers,115.52,27.87,30.31,15.43,45.74,8.9,4.23,16.27,25.66,44.48,91.21,0.49,1.48,4.78,0.32,25.09,32.63,0.77,4.12
1987-1988,Warriors,106.96,24.45,27.46,13.9,41.37,9.04,3.45,16.72,26.28,42.23,90.29,0.47,1.11,3.8,0.27,21.39,26.88,0.79,-8.32
1988-1989,76ers,111.66,25.85,28.75,13.82,42.58,8.34,4.33,14.41,21.12,42.68,87.84,0.49,2.45,7.85,0.33,23.85,30.41,0.78,1.35
1988-1989,Bucks,107.77,25.05,27.45,13.51,40.96,9.58,3.76,15.11,24.05,40.93,86.51,0.47,2.2,7.01,0.3,23.7,28.82,0.82,3.04
1988-1989,Bullets,108.28,24.98,28.71,15.29,44.0,8.4,3.96,15.51,25.05,42.91,92.57,0.47,0.63,2.96,0.19,21.82,28.27,0.77,-1.91
1988-1989,Bulls,105.25,26.38,29.76,12.38,42.14,8.64,4.53,15.74,23.26,41.12,83.8,0.49,2.49,7.44,0.31,20.52,26.26,0.78,1.23
1988-1989,Cavaliers,108.15,27.3,30.05,12.59,42.63,9.53,7.16,15.7,19.52,41.93,83.82,0.5,2.08,5.83,0.33,22.21,29.8,0.74,7.11
1988-1989,Celtics,108.58,26.52,29.8,14.21,44.01,7.75,5.0,15.96,22.92,42.72,86.98,0.49,0.92,3.73,0.22,22.22,28.42,0.78,0.74
1988-1989,Clippers,106.24,26.72,29.06,14.1,43.16,9.94,6.46,20.01,23.62,43.0,90.59,0.48,0.66,2.85,0.21,19.59,27.07,0.72,-9.77
1988-1989,Hawks,110.55,24.34,28.14,16.64,44.78,9.7,5.78,15.41,22.99,41.25,87.62,0.47,1.41,5.09,0.27,26.63,33.36,0.8,4.6
1988-1989,Heat,97.76,23.88,26.96,15.96,42.93,9.07,4.98,20.59,25.9,39.28,86.78,0.45,1.18,3.63,0.32,18.01,25.65,0.7,-10.82
1988-1989,Hornets,104.46,28.33,26.83,13.88,40.71,8.6,3.22,15.79,25.22,41.78,90.61,0.46,1.63,5.24,0.29,19.27,25.12,0.77,-8.36
1988-1989,Jazz,104.75,25.44,31.8,13.0,44.8,8.72,7.04,18.24,23.19,38.79,80.75,0.48,1.48,4.87,0.31,25.69,33.31,0.78,4.54
1988-1989,Kings,105.5,24.02,29.93,13.91,43.84,7.61,4.99,16.28,22.89,41.0,89.65,0.46,3.74,10.05,0.34,19.76,25.66,0.77,-5.35
1988-1989,Knicks,115.69,25.47,27.66,16.03,43.69,10.67,5.3,18.65,25.05,44.67,92.04,0.49,4.67,13.8,0.34,21.68,28.93,0.75,3.49
1988-1989,Lakers,114.05,27.45,31.51,13.22,44.72,8.54,5.09,15.88,20.71,43.13,86.09,0.5,2.87,8.38,0.33,24.92,31.22,0.79,6.79
1988-1989,Mavericks,103.46,22.77,29.23,12.78,42.01,7.06,5.8,14.73,21.21,39.56,84.35,0.47,2.57,8.3,0.31,21.77,27.6,0.79,-0.95
1988-1989,Nets,103.73,21.87,29.5,14.68,44.18,9.43,5.26,17.17,23.98,40.65,88.12,0.46,2.28,6.93,0.32,20.16,27.56,0.73,-6.35
1988-1989,Nuggets,117.8,27.69,30.71,14.61,45.32,9.81,5.19,14.75,25.59,46.39,99.11,0.47,2.87,8.41,0.34,22.15,28.13,0.78,1.58
1988-1989,Pacers,106.91,24.54,30.45,12.99,43.44,6.87,5.1,18.6,25.67,41.28,84.7,0.49,2.46,7.5,0.32,21.89,27.74,0.79,-3.95
1988-1989,Pistons,105.56,24.36,30.91,14.03,44.94,6.11,4.88,15.28,23.88,40.8,83.23,0.49,1.64,5.47,0.29,22.32,29.07,0.77,6.42
1988-1989,Rockets,108.41,24.57,30.93,14.67,45.6,9.6,6.07,18.58,24.72,41.53,87.62,0.48,2.03,6.42,0.31,23.3,30.9,0.75,0.92
1988-1989,Spurs,105.51,24.84,26.6,15.79,42.39,11.72,5.16,20.6,26.26,42.3,90.35,0.47,0.77,3.57,0.2,20.13,28.87,0.7,-7.28
1988-1989,Suns,118.59,27.77,32.13,13.81,45.94,8.56,5.01,15.38,23.48,45.68,92.4,0.5,2.14,6.23,0.34,25.09,31.48,0.8,7.62
1988-1989,SuperSonics,111.24,25.21,27.21,17.07,44.28,10.37,6.16,16.72,24.94,43.14,90.9,0.48,3.49,9.49,0.37,21.47,28.89,0.74,2.46
1988-1989,Trail Blazers,114.31,26.98,28.85,16.91,45.75,9.99,4.75,17.15,24.68,44.98,95.02,0.47,2.65,7.93,0.33,21.71,29.29,0.74,0.99
1988-1989,Warriors,115.97,24.1,31.03,15.96,46.99,10.1,7.9,17.67,23.74,45.24,96.98,0.47,2.39,8.12,0.28,23.09,28.84,0.8,-0.87
1989-1990,76ers,109.35,23.48,29.1,13.47,42.57,8.15,4.5,14.22,20.79,41.48,85.08,0.49,2.34,6.79,0.34,24.05,30.62,0.79,3.9
1989-1990,Bucks,105.76,24.84,27.21,13.35,40.56,10.02,4.01,15.62,25.64,40.93,86.5,0.47,2.6,8.29,0.29,21.29,28.08,0.76,-0.94
1989-1990,Bullets,107.71,27.0,29.88,14.61,44.49,6.84,5.17,14.37,23.52,43.88,92.45,0.48,0.45,2.4,0.19,19.5,25.52,0.76,-2.16
1989-1990,Bulls,108.23,25.89,27.67,13.1,40.78,9.71,4.66,14.56,23.62,42.26,85.63,0.49,2.99,8.28,0.36,20.73,26.77,0.78,3.29
1989-1990,Cavaliers,102.82,25.78,29.17,13.49,42.67,7.79,6.15,14.59,20.43,39.25,84.67,0.46,4.1,10.18,0.4,20.21,27.09,0.74,-0.15
1989-1990,Celtics,110.53,29.59,32.74,12.93,45.67,6.59,5.57,15.26,20.95,43.57,86.94,0.5,1.31,5.03,0.24,22.08,26.48,0.84,3.79
1989-1990,Clippers,103.77,24.12,28.8,12.88,41.68,9.54,6.18,18.46,22.67,40.48,83.57,0.49,0.68,2.8,0.24,22.13,29.98,0.74,-2.68
1989-1990,Hawks,108.55,22.2,26.67,15.52,42.2,8.74,4.3,15.11,22.82,41.67,85.6,0.49,1.51,5.01,0.28,23.7,31.02,0.76,1.02
1989-1990,Heat,100.57,23.87,28.21,15.15,43.35,8.98,4.73,18.27,25.89,41.26,89.57,0.46,1.07,3.66,0.28,16.99,24.73,0.69,-9.72
1989-1990,Hornets,100.66,25.37,26.96,11.73,38.7,9.49,3.2,14.51,23.04,39.88,87.6,0.46,2.5,7.45,0.33,18.13,23.99,0.76,-7.82
1989-1990,Jazz,106.69,26.89,30.33,11.7,42.03,8.28,5.98,16.54,24.98,40.6,80.82,0.5,2.78,7.79,0.35,22.6,30.01,0.75,4.74
1989-1990,Kings,101.72,25.02,28.82,11.61,40.43,6.66,4.78,14.54,22.72,40.3,86.05,0.47,2.63,7.91,0.33,18.48,23.95,0.77,-5.06
1989-1990,Knicks,108.03,26.17,29.24,14.32,43.55,8.67,5.72,16.35,22.38,41.71,86.24,0.48,2.84,8.47,0.33,21.67,28.63,0.76,0.61
1989-1990,Lakers,110.26,27.0,29.78,13.29,43.07,8.05,5.45,14.58,21.41,41.73,85.03,0.49,3.67,10.19,0.36,23.14,29.36,0.79,6.36
1989-1990,Magic,110.85,24.3,30.06,15.9,45.96,7.52,3.59,16.85,24.09,42.16,91.77,0.46,1.41,4.79,0.28,25.12,33.23,0.75,-8.59
1989-1990,Mavericks,102.18,21.61,29.47,12.66,42.13,8.09,4.88,14.66,21.35,39.54,83.22,0.48,1.95,6.06,0.32,21.14,27.55,0.77,-0.26
1989-1990,Nets,100.34,17.99,28.34,16.62,44.96,9.44,5.87,15.93,23.8,38.5,90.43,0.43,1.71,6.17,0.29,21.39,28.66,0.75,-7.87
1989-1990,Nuggets,114.47,27.78,30.88,14.21,45.09,9.91,4.04,13.66,24.99,45.25,97.78,0.46,2.78,8.34,0.33,21.32,26.91,0.79,0.94
1989-1990,Pacers,108.78,24.41,28.99,11.45,40.44,6.62,4.2,15.84,24.11,41.01,82.76,0.5,3.52,9.33,0.37,23.13,28.33,0.81,-0.28
1989-1990,Pistons,103.83,23.7,29.93,14.35,44.28,6.33,4.98,14.55,24.15,40.24,84.49,0.48,2.34,6.95,0.32,21.02,27.71,0.76,6.26
1989-1990,Rockets,106.24,26.57,31.78,14.86,46.64,9.83,6.71,17.78,23.5,42.28,88.23,0.48,1.91,6.17,0.29,19.85,27.65,0.72,1.03
1989-1990,Spurs,107.48,25.45,30.45,14.34,44.78,9.61,6.7,16.5,23.16,42.03,86.41,0.49,0.64,2.77,0.22,22.77,30.76,0.74,3.67
1989-1990,Suns,113.78,25.28,32.21,12.76,44.97,7.91,5.92,15.33,22.42,42.64,86.44,0.49,2.16,6.71,0.32,26.36,33.19,0.79,6.73
1989-1990,SuperSonics,106.94,22.85,27.5,16.13,43.63,8.55,4.09,15.83,25.17,42.27,88.33,0.48,2.82,7.93,0.33,19.59,26.41,0.74,1.91
1989-1990,Timberwolves,95.16,22.49,25.04,14.59,39.62,9.62,4.2,13.4,23.18,37.4,83.85,0.45,0.89,3.59,0.26,19.46,26.07,0.75,-4.23
1989-1990,Trail Blazers,112.77,25.04,30.63,16.32,46.95,9.05,4.64,16.15,25.32,42.7,91.29,0.47,2.48,7.38,0.32,24.89,33.66,0.74,4.57
1989-1990,Warriors,116.21,24.12,29.09,11.16,40.24,9.22,5.95,17.09,24.51,42.55,87.9,0.48,2.96,9.15,0.32,28.21,34.85,0.81,-3.13
1990-1991,76ers,104.98,22.26,30.2,11.81,42.01,8.3,5.71,14.36,19.93,39.77,83.59,0.48,2.42,7.59,0.31,23.02,29.12,0.79,-0.28
1990-1991,Bucks,106.22,25.27,26.38,13.11,39.48,10.8,3.94,15.64,24.82,40.67,84.73,0.48,3.15,9.22,0.33,21.73,27.18,0.8,1.99
1990-1991,Bullets,101.38,25.38,29.15,14.3,43.45,7.17,5.71,16.17,23.5,41.34,88.63,0.47,0.67,3.46,0.17,18.02,24.73,0.73,-4.55
1990-1991,Bulls,109.0,26.73,28.41,13.74,42.15,9.93,5.19,13.61,21.51,43.72,85.65,0.51,1.87,5.21,0.35,19.7,25.89,0.76,9.87
1990-1991,Cavaliers,101.74,27.32,28.4,12.33,40.73,7.84,5.49,15.27,20.39,39.74,83.62,0.48,1.95,5.84,0.35,20.3,26.54,0.77,-1.98
1990-1991,Celtics,111.39,25.84,32.6,13.06,45.67,8.0,6.53,15.53,21.18,44.6,87.4,0.51,1.28,4.22,0.26,20.9,25.47,0.82,5.57
1990-1991,Clippers,103.55,25.84,30.49,15.2,45.68,8.84,6.18,17.01,24.91,41.35,89.21,0.46,1.38,5.29,0.24,19.46,27.72,0.7,-3.45
1990-1991,Hawks,109.07,22.39,29.49,15.06,44.55,8.76,4.46,14.51,21.67,40.39,87.77,0.46,3.26,10.21,0.31,25.02,31.22,0.8,0.52
1990-1991,Heat,101.82,23.22,28.07,15.02,43.1,9.23,4.72,18.41,25.37,40.0,87.06,0.46,1.71,5.66,0.29,20.11,28.13,0.71,-5.79
1990-1991,Hornets,102.78,24.62,26.83,12.52,39.35,9.26,3.71,15.29,23.73,40.07,85.77,0.47,1.6,5.09,0.31,21.04,27.0,0.78,-5.24
1990-1991,Jazz,104.1,26.96,30.34,10.63,40.97,7.79,5.34,15.29,22.4,39.12,79.87,0.49,1.81,5.63,0.33,24.04,30.26,0.8,3.22
1990-1991,Kings,96.68,24.28,27.05,12.52,39.57,7.7,6.26,15.07,25.3,37.63,83.15,0.45,2.63,7.05,0.37,18.78,25.67,0.72,-6.59
1990-1991,Knicks,102.51,26.28,29.62,12.79,42.41,7.69,5.05,16.58,21.71,40.06,82.84,0.48,2.31,6.89,0.36,20.08,26.04,0.77,-0.93
1990-1991,Lakers,105.84,25.05,29.39,12.84,42.23,7.68,4.71,14.1,18.93,40.31,83.35,0.48,2.87,9.23,0.32,22.36,28.07,0.8,5.95
1990-1991,Magic,105.9,22.06,29.62,15.04,44.66,7.34,3.73,16.43,24.1,40.22,88.49,0.46,3.29,9.2,0.35,22.17,29.84,0.74,-3.98
1990-1991,Mavericks,99.94,22.21,28.78,12.0,40.78,7.09,4.84,14.01,22.44,39.57,84.02,0.47,2.35,7.32,0.32,18.44,24.22,0.77,-4.57
1990-1991,Nets,102.94,21.73,28.63,17.07,45.71,9.12,7.32,16.93,23.83,40.38,90.96,0.44,1.96,7.15,0.27,20.22,27.38,0.74,-4.51
1990-1991,Nuggets,119.85,24.45,30.85,18.54,49.39,10.44,4.95,15.95,27.26,47.57,108.15,0.44,3.66,12.91,0.28,21.05,27.6,0.76,-10.78
1990-1991,Pacers,112.08,26.46,28.82,12.31,41.13,8.01,4.34,16.1,25.67,42.06,85.26,0.49,3.16,9.28,0.33,24.8,30.53,0.81,-0.14
1990-1991,Pistons,100.22,22.02,29.67,14.96,44.63,5.85,4.39,13.53,23.27,38.88,84.27,0.46,1.82,6.03,0.28,20.64,27.25,0.76,2.59
1990-1991,Rockets,106.27,23.28,30.52,15.42,45.94,9.61,4.96,16.48,22.89,41.39,88.66,0.47,3.86,12.09,0.31,19.64,26.46,0.74,3.18
1990-1991,Spurs,107.13,26.12,32.35,13.71,46.06,8.23,6.91,17.27,23.13,41.52,85.13,0.49,0.98,3.76,0.21,23.1,30.2,0.76,4.38
1990-1991,Suns,113.15,26.72,31.52,13.66,45.19,8.31,6.52,15.28,22.65,43.13,87.49,0.49,1.71,5.42,0.28,25.19,32.79,0.77,5.71
1990-1991,SuperSonics,106.46,24.67,26.43,14.82,41.24,10.43,4.63,16.45,24.23,42.4,86.54,0.49,1.71,5.44,0.29,19.94,26.41,0.75,1.0
1990-1991,Timberwolves,99.62,22.99,25.77,15.55,41.32,8.68,5.37,12.23,22.73,39.82,88.73,0.45,1.32,4.65,0.28,18.67,25.39,0.73,-3.7
1990-1991,Trail Blazers,112.95,26.84,30.61,14.72,45.34,8.7,4.77,15.57,23.99,42.84,88.68,0.48,3.93,10.69,0.37,23.35,31.11,0.75,7.48
1990-1991,Warriors,116.42,23.91,28.09,13.12,41.21,9.67,4.75,15.97,27.2,43.52,89.42,0.49,3.45,10.09,0.34,25.93,33.05,0.79,1.59
1991-1992,76ers,101.93,21.4,28.16,12.9,41.06,8.44,5.88,14.54,19.29,38.87,82.45,0.47,2.77,8.29,0.34,21.43,27.65,0.78,-1.27
1991-1992,Bucks,104.98,24.61,26.48,15.83,42.3,10.52,3.87,15.91,23.22,40.5,88.0,0.46,4.52,12.26,0.36,19.45,25.66,0.76,-1.72
1991-1992,Bullets,102.38,24.52,28.6,13.04,41.63,8.7,5.15,14.79,22.59,41.02,89.04,0.46,1.78,6.55,0.25,18.55,23.85,0.77,-4.25
1991-1992,Bulls,107.88,27.02,29.14,14.02,43.16,8.12,5.78,12.87,21.28,43.22,85.75,0.5,1.85,5.76,0.32,19.59,26.38,0.74,9.54
1991-1992,Cavaliers,107.95,27.35,29.76,12.57,42.32,7.48,7.32,12.79,19.22,41.23,84.67,0.49,3.07,8.65,0.35,22.41,27.7,0.81,4.95
1991-1992,Celtics,106.7,25.23,31.12,13.45,44.57,7.71,5.84,13.6,20.72,43.32,87.85,0.49,1.26,4.24,0.28,18.8,23.4,0.8,3.52
1991-1992,Clippers,102.66,24.87,29.07,13.78,42.85,9.82,6.05,15.1,23.01,40.71,86.0,0.47,1.75,6.08,0.28,19.48,27.08,0.72,0.78
1991-1992,Hawks,106.23,25.89,30.46,15.71,46.17,9.67,3.9,14.91,21.6,42.59,91.17,0.47,2.56,8.18,0.28,18.5,25.29,0.73,-1.25
1991-1992,Heat,104.78,21.28,28.61,14.35,42.96,8.13,4.49,16.18,22.2,39.58,85.88,0.46,3.22,9.28,0.35,22.4,28.45,0.79,-4.49
1991-1992,Hornets,109.51,27.85,28.87,14.2,43.06,10.02,3.78,15.06,22.18,44.06,92.29,0.48,1.43,4.5,0.3,19.96,26.44,0.75,-3.45
1991-1992,Jazz,107.38,26.07,30.32,13.24,43.56,8.51,5.35,14.93,21.43,40.52,82.65,0.49,1.91,5.67,0.34,24.43,30.88,0.79,5.41
1991-1992,Kings,104.26,23.87,28.71,12.85,41.56,8.87,7.54,16.17,21.5,40.83,87.67,0.47,2.9,8.23,0.35,19.7,26.37,0.75,-5.86
1991-1992,Knicks,100.12,25.56,30.03,14.59,44.62,7.55,4.6,14.51,23.46,39.59,83.9,0.47,2.43,7.7,0.32,18.52,25.2,0.74,3.52
1991-1992,Lakers,100.08,21.9,26.59,13.95,40.55,9.21,4.83,12.8,19.13,38.57,84.74,0.46,1.49,5.41,0.3,21.45,28.0,0.77,-1.49
1991-1992,Magic,101.59,21.85,28.4,14.28,42.68,7.84,4.48,16.46,24.11,39.27,86.61,0.46,2.4,7.41,0.31,20.65,27.66,0.75,-6.54
1991-1992,Mavericks,97.65,19.88,29.74,14.56,44.3,6.54,4.26,14.16,22.77,38.05,86.63,0.44,3.27,9.72,0.33,18.28,24.38,0.75,-7.47
1991-1992,Nets,105.21,23.72,28.97,18.33,47.29,9.06,7.51,16.36,22.64,42.34,92.57,0.46,2.74,8.27,0.33,17.79,24.33,0.73,-1.52
1991-1992,Nuggets,99.71,18.94,28.68,16.46,45.15,9.43,5.62,17.0,24.2,39.78,90.0,0.44,1.54,5.1,0.29,18.61,25.21,0.74,-7.69
1991-1992,Pacers,112.0,29.04,31.07,13.07,44.14,8.6,4.76,16.62,26.12,42.46,86.13,0.49,4.15,11.59,0.36,22.93,29.02,0.79,1.56
1991-1992,Pistons,98.13,23.07,29.32,14.53,43.85,6.61,4.37,14.32,20.26,38.49,83.26,0.46,2.03,6.49,0.3,19.1,25.68,0.74,1.48
1991-1992,Rockets,102.02,25.1,29.66,13.1,42.76,8.0,6.96,16.35,21.57,39.91,84.07,0.48,4.01,11.7,0.34,18.18,24.63,0.74,-1.47
1991-1992,Spurs,103.93,24.27,30.87,14.95,45.82,8.85,7.46,15.55,22.01,41.18,86.39,0.48,1.51,5.04,0.26,20.07,27.38,0.73,2.88
1991-1992,Suns,112.69,26.9,30.92,13.23,44.16,8.14,6.9,14.7,22.86,43.31,88.1,0.49,2.84,7.49,0.38,23.22,29.72,0.78,5.53
1991-1992,SuperSonics,106.45,22.65,27.37,15.52,42.89,9.16,5.54,15.63,24.07,41.04,86.36,0.48,2.57,8.2,0.3,21.79,27.8,0.78,1.66
1991-1992,Timberwolves,100.45,24.7,26.44,14.23,40.67,7.55,6.41,13.45,22.76,41.05,89.54,0.46,1.54,4.8,0.31,16.82,22.65,0.74,-6.86
1991-1992,Trail Blazers,111.11,25.3,30.6,15.4,46.0,9.1,4.92,15.71,24.62,41.98,88.47,0.48,3.91,11.31,0.33,23.23,30.83,0.75,6.47
1991-1992,Warriors,118.6,25.08,28.67,13.86,42.53,10.41,4.58,15.98,25.09,45.78,90.45,0.51,3.15,9.42,0.33,23.9,32.09,0.74,4.05
1992-1993,76ers,104.34,24.85,29.65,12.57,42.22,8.2,6.9,15.94,19.56,39.33,86.28,0.46,4.02,11.48,0.35,21.66,27.55,0.79,-5.77
1992-1993,Bucks,102.34,25.41,25.77,12.8,38.57,10.52,4.79,16.13,24.12,39.85,84.44,0.47,3.8,11.41,0.34,18.83,25.38,0.74,-3.51
1992-1993,Bullets,101.87,25.73,28.26,12.57,40.83,8.21,4.38,15.56,21.89,40.27,86.16,0.47,2.12,7.05,0.3,19.21,25.7,0.75,-7.04
1992-1993,Bulls,104.65,25.69,27.65,15.25,42.9,9.37,4.84,12.69,22.25,41.89,86.81,0.48,3.2,8.43,0.38,17.67,24.15,0.73,6.49
1992-1993,Cavaliers,106.33,28.18,30.08,11.38,41.46,7.57,6.42,13.47,19.25,41.25,83.46,0.49,3.42,9.03,0.39,20.41,25.45,0.8,5.62
1992-1993,Celtics,103.53,24.26,29.58,13.19,42.77,7.73,5.53,13.84,22.66,42.12,86.65,0.49,1.36,4.78,0.26,17.94,23.03,0.78,0.87
1992-1993,Clippers,106.25,27.13,28.75,14.44,43.18,10.37,5.84,15.85,23.39,42.89,89.31,0.48,1.67,5.97,0.27,18.82,26.36,0.71,0.31
1992-1993,Hawks,106.99,25.09,28.4,15.72,44.12,9.76,3.4,15.75,22.08,41.16,88.49,0.47,4.61,13.08,0.35,20.05,27.06,0.74,-1.41
