Player,Team,PTS_per_game,AST_per_game,FG_pct,TRB_per_game,BLK_per_game,STL_per_game,3P_pct,TOV_per_game,PF_per_game,Season
Larry Hughes,2TM,15.0,2.5,0.4,4.3,0.3,1.4,0.232,2.4,2.3,1999-00
Larry Hughes,PHI,10.0,1.5,0.416,3.2,0.2,1.1,0.216,1.9,1.9,1999-00
Larry Hughes,GSW,22.7,4.1,0.389,5.9,0.5,1.9,0.243,3.1,3.0,1999-00
Patrick Ewing,NYK,15.0,0.9,0.466,9.7,1.4,0.6,0.0,2.3,3.2,1999-00
Juwan Howard,WAS,14.9,3.0,0.459,5.7,0.3,0.8,0.0,2.7,3.6,1999-00
Steve Smith,POR,14.9,2.5,0.467,3.8,0.4,0.9,0.398,1.4,2.6,1999-00
Toni Kukoč,2TM,14.8,4.7,0.408,4.9,0.5,1.4,0.262,2.6,2.0,1999-00
Toni Kukoč,CHI,18.0,5.2,0.381,5.4,0.8,1.8,0.231,3.1,2.1,1999-00
Toni Kukoč,PHI,12.4,4.4,0.438,4.5,0.3,1.0,0.289,2.2,1.9,1999-00
Charles Barkley,HOU,14.5,3.2,0.477,10.5,0.2,0.7,0.231,2.2,2.4,1999-00
Mike Bibby,VAN,14.5,8.1,0.445,3.7,0.2,1.6,0.363,3.0,2.1,1999-00
Jason Kidd,PHO,14.3,10.1,0.409,7.2,0.4,2.0,0.337,3.4,2.2,1999-00
Donyell Marshall,GSW,14.2,2.6,0.394,10.0,1.1,1.1,0.355,1.9,2.8,1999-00
Bryon Russell,UTA,14.1,1.9,0.446,5.2,0.3,1.6,0.396,1.2,3.1,1999-00
Kenny Anderson,BOS,14.0,5.1,0.44,2.7,0.1,1.7,0.386,1.6,2.8,1999-00
John Starks,2TM,13.9,4.9,0.375,2.7,0.1,1.1,0.345,1.8,2.8,1999-00
John Starks,GSW,14.7,5.2,0.378,2.8,0.1,1.1,0.348,1.9,2.8,1999-00
John Starks,CHI,7.5,2.8,0.324,2.5,0.3,1.3,0.3,0.8,2.3,1999-00
Rodney Rogers,PHO,13.8,2.1,0.486,5.5,0.6,1.1,0.439,2.0,3.5,1999-00
Bob Sura,CLE,13.8,3.9,0.437,3.9,0.3,1.2,0.367,2.0,2.8,1999-00
Tom Gugliotta,PHO,13.7,2.3,0.481,7.9,0.6,1.5,0.125,2.0,2.8,1999-00
Gary Trent,DAL,13.7,2.0,0.493,4.7,0.3,0.7,0.0,2.3,2.5,1999-00
Bobby Phills,CHH,13.6,2.8,0.454,2.5,0.3,1.5,0.33,1.7,2.6,1999-00
David Wesley,CHH,13.6,5.6,0.426,2.7,0.1,1.3,0.355,1.9,2.3,1999-00
Tim Hardaway,MIA,13.4,7.4,0.386,2.9,0.1,0.9,0.367,2.3,2.2,1999-00
Tyrone Nesby,LAC,13.3,1.7,0.398,3.8,0.4,1.0,0.335,1.4,2.8,1999-00
Alan Henderson,ATL,13.2,0.9,0.461,7.0,0.7,1.0,0.1,1.7,2.8,1999-00
Kendall Gill,NJN,13.1,2.8,0.414,3.7,0.5,1.8,0.256,1.2,2.8,1999-00
Othella Harrington,VAN,13.1,1.2,0.506,6.9,0.7,0.4,0.0,2.6,3.5,1999-00
Kerry Kittles,NJN,13.0,2.3,0.437,3.6,0.3,1.3,0.4,0.9,1.9,1999-00
Rik Smits,IND,12.9,1.1,0.484,5.1,1.3,0.3,0.0,1.4,3.2,1999-00
Erick Strickland,DAL,12.8,3.1,0.433,4.8,0.2,1.5,0.392,1.5,2.8,1999-00
Elden Campbell,CHH,12.7,1.7,0.446,7.6,1.9,0.7,0.0,1.6,3.4,1999-00
Lindsey Hunter,DET,12.7,4.0,0.425,3.0,0.3,1.6,0.432,1.8,2.6,1999-00
Rod Strickland,WAS,12.6,7.5,0.429,3.8,0.3,1.4,0.048,2.7,2.1,1999-00
Scottie Pippen,POR,12.5,5.0,0.451,6.3,0.5,1.4,0.327,2.5,2.5,1999-00
Damon Stoudamire,POR,12.5,5.2,0.432,3.1,0.0,1.0,0.377,1.9,2.2,1999-00
Doug Christie,TOR,12.4,4.4,0.407,3.9,0.6,1.4,0.36,2.0,2.3,1999-00
Jeff Hornacek,UTA,12.4,2.6,0.492,2.4,0.2,0.9,0.478,1.5,1.9,1999-00
Raef LaFrentz,DEN,12.4,1.2,0.446,7.9,2.2,0.5,0.328,1.2,3.6,1999-00
Shandon Anderson,HOU,12.3,2.9,0.473,4.7,0.4,1.2,0.351,2.4,2.2,1999-00
Vlade Divac,SAC,12.3,3.0,0.503,8.0,1.3,1.3,0.269,2.3,3.1,1999-00
Jason Williams,SAC,12.3,7.3,0.373,2.8,0.1,1.4,0.287,3.7,1.7,1999-00
Christian Laettner,DET,12.2,2.3,0.473,6.7,0.5,1.0,0.292,2.3,4.0,1999-00
John Stockton,UTA,12.1,8.6,0.501,2.6,0.2,1.7,0.355,2.2,2.3,1999-00
Jason Caffey,GSW,12.0,1.7,0.479,6.8,0.3,0.9,0.0,2.4,3.8,1999-00
Tyrone Hill,PHI,12.0,0.8,0.485,9.2,0.4,0.9,0.0,1.8,3.6,1999-00
Metta World Peace,CHI,12.0,2.8,0.407,4.3,0.5,1.7,0.314,2.3,2.2,1999-00
Chris Gatling,2TM,11.9,0.8,0.455,5.9,0.3,1.0,0.257,2.0,2.9,1999-00
Chris Gatling,ORL,13.3,0.9,0.455,6.6,0.2,1.1,0.304,2.3,3.2,1999-00
Chris Gatling,DEN,10.4,0.8,0.456,5.1,0.3,0.9,0.234,1.6,2.6,1999-00
Voshon Lenard,MIA,11.9,2.6,0.407,2.9,0.3,0.8,0.39,1.5,2.4,1999-00
Theo Ratliff,PHI,11.9,0.6,0.503,7.6,3.0,0.6,,1.9,3.2,1999-00
Peja Stojaković,SAC,11.9,1.4,0.448,3.7,0.1,0.7,0.375,1.2,1.3,1999-00
Brent Barry,SEA,11.8,3.6,0.463,4.7,0.4,1.3,0.411,1.8,2.9,1999-00
Arvydas Sabonis,POR,11.8,1.8,0.505,7.8,1.2,0.7,0.368,1.5,2.8,1999-00
Tim Thomas,MIL,11.8,1.4,0.461,4.2,0.4,0.7,0.346,1.6,2.8,1999-00
Anthony Mason,CHH,11.6,4.5,0.48,8.5,0.4,0.9,0.0,2.0,2.7,1999-00
Ruben Patterson,SEA,11.6,1.6,0.536,5.4,0.5,1.2,0.444,1.8,2.3,1999-00
Wally Szczerbiak,MIN,11.6,2.8,0.511,3.7,0.3,0.8,0.359,1.1,2.4,1999-00
Antonio Davis,TOR,11.5,1.3,0.44,8.8,1.3,0.5,,1.5,3.4,1999-00
Dikembe Mutombo,ATL,11.5,1.3,0.562,14.1,3.3,0.3,,2.1,3.0,1999-00
Tariq Abdul-Wahad,2TM,11.4,1.6,0.424,4.8,0.5,1.0,0.13,1.7,2.4,1999-00
Tariq Abdul-Wahad,ORL,12.2,1.6,0.433,5.2,0.3,1.2,0.095,1.9,2.5,1999-00
Tariq Abdul-Wahad,DEN,8.9,1.7,0.389,3.5,0.8,0.4,0.5,1.3,2.1,1999-00
Mookie Blaylock,GSW,11.3,6.7,0.391,3.7,0.3,2.0,0.336,2.0,1.7,1999-00
Malik Sealy,MIN,11.3,2.4,0.476,4.3,0.2,0.9,0.286,1.3,2.4,1999-00
Avery Johnson,SAS,11.2,6.0,0.473,1.9,0.2,0.9,0.111,1.7,1.8,1999-00
Andre Miller,CLE,11.1,5.8,0.449,3.4,0.2,1.0,0.204,2.0,2.4,1999-00
Vernon Maxwell,SEA,10.9,1.6,0.345,1.7,0.2,0.8,0.3,1.1,1.8,1999-00
Walt Williams,HOU,10.9,2.1,0.458,4.0,0.6,0.6,0.391,1.5,2.5,1999-00
Nick Anderson,SAC,10.8,1.7,0.391,4.7,0.2,1.3,0.332,1.3,1.6,1999-00
Larry Johnson,NYK,10.7,2.5,0.433,5.4,0.1,0.6,0.333,1.3,2.9,1999-00
John Amaechi,ORL,10.5,1.2,0.437,3.3,0.5,0.4,0.167,1.7,2.0,1999-00
Austin Croshere,IND,10.3,1.1,0.441,6.4,0.7,0.5,0.362,1.5,2.5,1999-00
Hakeem Olajuwon,HOU,10.3,1.4,0.458,6.2,1.6,0.9,0.0,1.7,2.0,1999-00
Corliss Williamson,SAC,10.3,1.1,0.5,3.8,0.3,0.5,,1.4,2.5,1999-00
Marcus Camby,NYK,10.2,0.8,0.48,7.8,2.0,0.7,0.5,1.2,3.5,1999-00
Shawn Marion,PHO,10.2,1.4,0.471,6.5,1.0,0.7,0.182,1.0,2.2,1999-00
Tracy Murray,WAS,10.2,0.9,0.433,3.4,0.3,0.6,0.43,1.1,2.3,1999-00
