Player,Team,PTS_per_game,AST_per_game,FG_pct,TRB_per_game,BLK_per_game,STL_per_game,3P_pct,TOV_per_game,PF_per_game,Season
Latrell Sprewell,NYK,19.4,3.9,0.404,3.7,0.2,1.2,0.36,2.8,2.0,2001-02
Jason Terry,ATL,19.3,5.7,0.43,3.5,0.2,1.8,0.387,2.3,2.0,2001-02
Rasheed Wallace,POR,19.3,1.9,0.469,8.2,1.3,1.3,0.36,1.7,2.7,2001-02
Shawn Marion,PHO,19.1,2.0,0.469,9.9,1.1,1.8,0.393,1.8,2.6,2001-02
Jermaine O'Neal,IND,19.0,1.6,0.479,10.5,2.3,0.6,0.071,2.4,3.7,2001-02
Wally Szczerbiak,MIN,18.7,3.1,0.508,4.8,0.3,0.8,0.455,2.2,2.3,2001-02
Nick Van Exel,2TM,18.4,6.6,0.409,3.5,0.2,0.6,0.34,2.2,1.4,2001-02
Nick Van Exel,DEN,21.4,8.1,0.408,3.8,0.2,0.7,0.337,2.6,1.5,2001-02
Nick Van Exel,DAL,13.2,4.2,0.411,3.1,0.1,0.5,0.347,1.5,1.3,2001-02
Eddie Jones,MIA,18.3,3.2,0.432,4.7,1.0,1.4,0.39,1.8,3.2,2001-02
Elton Brand,LAC,18.2,2.4,0.527,11.6,2.0,1.0,,2.2,3.2,2001-02
Baron Davis,CHH,18.1,8.5,0.417,4.3,0.6,2.1,0.356,3.0,2.9,2001-02
Steve Nash,DAL,17.9,7.7,0.483,3.1,0.0,0.6,0.455,2.8,2.0,2001-02
Pau Gasol,MEM,17.6,2.7,0.518,8.9,2.1,0.5,0.2,2.7,2.4,2001-02
Bonzi Wells,POR,17.0,2.8,0.469,6.0,0.3,1.5,0.384,2.6,2.8,2001-02
Grant Hill,ORL,16.8,4.6,0.426,8.9,0.3,0.6,0.0,2.6,2.9,2001-02
Rashard Lewis,SEA,16.8,1.7,0.468,7.0,0.6,1.5,0.389,1.4,2.5,2001-02
Lamond Murray,CLE,16.6,2.2,0.436,5.2,0.6,1.0,0.424,2.0,2.1,2001-02
Andre Miller,CLE,16.5,10.9,0.454,4.7,0.4,1.6,0.253,3.0,2.8,2001-02
Reggie Miller,IND,16.5,3.2,0.453,2.8,0.1,1.1,0.406,1.5,1.8,2001-02
Alonzo Mourning,MIA,15.7,1.2,0.516,8.4,2.5,0.4,0.333,2.4,3.4,2001-02
Mike Miller,ORL,15.2,3.1,0.438,4.3,0.4,0.7,0.383,1.7,2.3,2001-02
Derrick Coleman,PHI,15.1,1.7,0.45,8.8,0.9,0.7,0.337,2.1,2.7,2001-02
Wesley Person,CLE,15.1,2.2,0.495,3.8,0.5,1.0,0.444,0.9,1.2,2001-02
Kenyon Martin,NJN,14.9,2.6,0.463,5.3,1.7,1.2,0.224,2.4,3.6,2001-02
Donyell Marshall,UTA,14.8,1.7,0.519,7.6,1.2,0.9,0.31,2.1,2.6,2001-02
Keith Van Horn,NJN,14.8,2.0,0.433,7.5,0.5,0.8,0.345,1.8,2.7,2001-02
Jason Williams,MEM,14.8,8.0,0.382,3.0,0.1,1.7,0.295,3.3,1.6,2001-02
Jason Kidd,NJN,14.7,9.9,0.391,7.3,0.2,2.1,0.321,3.5,1.7,2001-02
Juwan Howard,2TM,14.6,2.1,0.46,7.6,0.6,0.6,0.0,1.9,3.3,2001-02
Juwan Howard,DAL,12.9,1.8,0.462,7.4,0.6,0.5,0.0,1.5,3.2,2001-02
Juwan Howard,DEN,17.9,2.7,0.457,7.9,0.6,0.6,0.0,2.6,3.4,2001-02
Jeff McInnis,LAC,14.6,6.2,0.413,2.6,0.1,0.8,0.321,1.8,2.5,2001-02
Clifford Robinson,DET,14.6,2.5,0.425,4.8,1.2,1.1,0.378,1.9,3.0,2001-02
Antonio Davis,TOR,14.5,2.0,0.426,9.6,1.1,0.7,0.0,2.1,2.9,2001-02
Brent Barry,SEA,14.4,5.3,0.508,5.4,0.5,1.8,0.424,2.0,2.2,2001-02
Shane Battier,MEM,14.4,2.8,0.429,5.4,1.0,1.6,0.373,2.0,2.8,2001-02
Jason Richardson,GSW,14.4,3.0,0.426,4.3,0.4,1.3,0.333,2.0,2.4,2001-02
David Wesley,CHH,14.2,3.5,0.4,2.1,0.2,1.1,0.332,1.8,2.2,2001-02
Vin Baker,SEA,14.1,1.3,0.485,6.4,0.7,0.4,0.125,2.3,3.6,2001-02
Kenny Thomas,HOU,14.1,1.9,0.478,7.2,0.9,1.2,0.0,2.0,2.7,2001-02
Morris Peterson,TOR,14.0,2.4,0.438,3.5,0.2,1.2,0.364,1.4,2.8,2001-02
Ron Mercer,2TM,13.9,2.4,0.397,3.4,0.2,0.6,0.29,1.7,2.0,2001-02
Ron Mercer,CHI,16.8,3.0,0.399,3.9,0.3,0.8,0.298,2.0,2.2,2001-02
Ron Mercer,IND,4.8,0.8,0.373,1.8,0.2,0.2,0.2,0.7,1.7,2001-02
Elden Campbell,CHH,13.9,1.3,0.484,6.9,1.8,0.8,0.0,1.8,3.4,2001-02
Kurt Thomas,NYK,13.9,1.1,0.494,9.1,1.0,0.9,0.167,1.9,4.2,2001-02
Mike Bibby,SAC,13.7,5.0,0.453,2.8,0.2,1.1,0.37,1.7,1.7,2001-02
Brad Miller,2TM,13.6,2.0,0.499,8.2,0.5,1.0,0.429,1.5,3.2,2001-02
Brad Miller,CHI,12.7,2.1,0.46,8.4,0.6,1.1,0.5,1.5,3.3,2001-02
Brad Miller,IND,15.1,1.8,0.562,7.9,0.4,0.9,0.333,1.5,3.1,2001-02
Corliss Williamson,DET,13.6,1.2,0.51,4.1,0.3,0.6,0.2,1.8,2.9,2001-02
Raef LaFrentz,2TM,13.5,1.1,0.458,7.4,2.7,0.7,0.388,1.2,3.6,2001-02
Raef LaFrentz,DEN,14.9,1.2,0.466,7.4,3.0,0.6,0.434,1.2,3.4,2001-02
Raef LaFrentz,DAL,10.8,1.1,0.437,7.4,2.2,0.9,0.305,1.3,4.0,2001-02
Damon Stoudamire,POR,13.5,6.5,0.402,3.9,0.1,0.9,0.353,2.0,2.0,2001-02
Kerry Kittles,NJN,13.4,2.6,0.466,3.4,0.4,1.6,0.405,1.3,1.3,2001-02
John Stockton,UTA,13.4,8.2,0.517,3.2,0.3,1.9,0.321,2.5,2.5,2001-02
Quentin Richardson,LAC,13.3,1.6,0.432,4.1,0.3,1.0,0.381,1.3,1.8,2001-02
Metta World Peace,2TM,13.2,2.3,0.423,4.9,0.7,2.6,0.312,2.1,3.9,2001-02
Metta World Peace,CHI,15.6,2.9,0.433,4.9,0.9,2.8,0.396,2.6,4.0,2001-02
Metta World Peace,IND,10.9,1.8,0.411,5.0,0.6,2.4,0.215,1.8,3.9,2001-02
Al Harrington,IND,13.1,1.2,0.475,6.3,0.5,0.9,0.333,1.8,3.8,2001-02
Lamar Odom,LAC,13.1,5.9,0.419,6.1,1.2,0.8,0.19,3.3,3.1,2001-02
Chauncey Billups,MIN,12.5,5.5,0.423,2.8,0.2,0.8,0.394,1.7,2.1,2001-02
Darrell Armstrong,ORL,12.4,5.5,0.419,3.9,0.1,1.9,0.349,2.1,2.0,2001-02
Terrell Brandon,MIN,12.4,8.3,0.425,2.9,0.2,1.6,0.174,1.3,1.5,2001-02
Desmond Mason,SEA,12.4,1.4,0.464,4.7,0.4,0.9,0.271,1.4,2.3,2001-02
Marcus Fizer,CHI,12.3,1.6,0.438,5.6,0.3,0.6,0.171,1.7,2.4,2001-02
Larry Hughes,GSW,12.3,4.3,0.423,3.4,0.3,1.5,0.194,2.3,2.1,2001-02
Aaron McKie,PHI,12.2,3.7,0.449,4.0,0.3,1.2,0.398,1.9,1.5,2001-02
David Robinson,SAS,12.2,1.2,0.507,8.3,1.8,1.1,,1.3,2.5,2001-02
Chucky Atkins,DET,12.1,3.3,0.466,2.0,0.1,0.9,0.411,1.6,2.2,2001-02
Eric Snow,PHI,12.1,6.6,0.442,3.5,0.1,1.6,0.111,2.3,2.7,2001-02
Doug Christie,SAC,12.0,4.2,0.46,4.6,0.3,2.0,0.352,2.0,2.6,2001-02
Anfernee Hardaway,PHO,12.0,4.1,0.418,4.4,0.4,1.5,0.277,2.4,2.3,2001-02
Lorenzen Wright,MEM,12.0,1.0,0.459,9.4,0.5,0.7,0.0,1.7,2.9,2001-02
Rodney Rogers,2TM,11.9,1.5,0.471,4.5,0.4,0.9,0.374,1.4,2.9,2001-02
Rodney Rogers,PHO,12.6,1.4,0.466,4.8,0.3,1.0,0.35,1.3,3.0,2001-02
Rodney Rogers,BOS,10.7,1.5,0.482,4.0,0.4,0.6,0.411,1.6,2.9,2001-02
Matt Harpring,PHI,11.8,1.3,0.461,7.1,0.1,0.9,0.304,1.6,2.5,2001-02
Stromile Swift,MEM,11.8,0.7,0.48,6.3,1.7,0.8,0.0,1.8,2.6,2001-02
Alvin Williams,TOR,11.8,5.7,0.415,3.4,0.3,1.6,0.321,1.8,2.3,2001-02
Ricky Davis,CLE,11.7,2.2,0.481,3.0,0.3,0.8,0.314,1.8,1.8,2001-02
Troy Hudson,ORL,11.7,3.1,0.434,1.8,0.1,0.7,0.353,2.0,1.5,2001-02
Tim Thomas,MIL,11.7,1.4,0.42,4.1,0.4,0.9,0.326,1.7,2.7,2001-02
Steve Smith,SAS,11.6,2.0,0.455,2.5,0.2,0.7,0.472,1.4,2.1,2001-02
Voshon Lenard,DEN,11.5,1.8,0.41,2.6,0.4,0.8,0.371,1.3,1.5,2001-02
Dikembe Mutombo,PHI,11.5,1.0,0.501,10.8,2.4,0.4,,2.0,3.0,2001-02
Corey Maggette,LAC,11.4,1.8,0.443,3.7,0.3,0.7,0.331,1.8,2.5,2001-02
Michael Redd,MIL,11.4,1.4,0.483,3.3,0.1,0.6,0.444,0.9,1.4,2001-02
Keon Clark,TOR,11.3,1.1,0.49,7.4,1.5,0.7,0.0,1.7,3.2,2001-02
Antonio McDyess,DEN,11.3,1.8,0.573,5.5,0.8,1.0,,2.0,2.0,2001-02
Derek Fisher,LAL,11.2,2.6,0.411,2.1,0.1,0.9,0.413,0.9,1.7,2001-02
Danny Fortson,GSW,11.2,1.6,0.428,11.7,0.2,0.6,0.25,2.1,3.3,2001-02
Ruben Patterson,POR,11.2,1.4,0.515,4.0,0.5,1.1,0.25,1.5,1.9,2001-02
Marcus Camby,NYK,11.1,1.1,0.448,11.1,1.7,1.2,0.0,1.4,3.7,2001-02
Vlade Divac,SAC,11.1,3.7,0.472,8.4,1.2,1.0,0.231,2.0,2.9,2001-02
Pat Garrity,ORL,11.1,1.2,0.426,4.2,0.4,0.8,0.427,0.9,2.9,2001-02
Zydrunas Ilgauskas,CLE,11.1,1.1,0.425,5.4,1.4,0.3,0.0,1.5,3.0,2001-02
Bobby Jackson,SAC,11.1,2.0,0.443,3.1,0.1,0.9,0.361,1.1,1.8,2001-02
Michael Olowokandi,LAC,11.1,1.1,0.433,8.9,1.8,0.7,,2.2,2.7,2001-02
Gilbert Arenas,GSW,10.9,3.7,0.453,2.8,0.2,1.5,0.345,2.1,2.4,2001-02
Derek Anderson,POR,10.8,3.1,0.404,2.7,0.1,1.0,0.373,1.2,1.6,2001-02
Michael Dickerson,MEM,10.8,2.3,0.313,3.0,0.3,0.8,0.381,2.0,3.0,2001-02
Lee Nailon,CHH,10.8,1.2,0.483,3.7,0.2,0.7,0.5,1.2,2.2,2001-02
Jim Jackson,MIA,10.7,2.5,0.442,5.3,0.3,0.8,0.469,1.9,2.6,2001-02
Andrei Kirilenko,UTA,10.7,1.1,0.45,4.9,1.9,1.4,0.25,1.3,1.9,2001-02
James Posey,DEN,10.7,2.5,0.376,5.9,0.5,1.6,0.283,1.7,3.1,2001-02
Joe Smith,MIN,10.7,1.1,0.511,6.3,0.8,0.5,0.667,1.2,3.5,2001-02
Scottie Pippen,POR,10.6,5.9,0.411,5.2,0.6,1.6,0.305,2.8,2.6,2001-02
Rod Strickland,MIA,10.4,6.1,0.443,3.1,0.1,1.1,0.308,2.1,1.5,2001-02
Chris Whitney,WAS,10.2,3.8,0.418,1.9,0.1,0.9,0.406,1.0,2.2,2001-02
Hedo Türkoğlu,SAC,10.1,2.0,0.422,4.5,0.4,0.7,0.368,1.0,2.3,2001-02
Bob Sura,GSW,10.0,3.5,0.424,3.3,0.2,1.1,0.316,1.7,2.1,2001-02
Toni Kukoč,ATL,9.9,3.6,0.419,3.7,0.3,0.8,0.31,1.9,1.5,2001-02
Courtney Alexander,WAS,9.8,1.5,0.47,2.6,0.1,0.6,0.278,1.1,2.0,2001-02
Todd MacCulloch,NJN,9.7,1.3,0.531,6.1,1.4,0.4,,1.1,2.9,2001-02
Nazr Mohammed,ATL,9.7,0.4,0.461,7.9,0.7,0.8,0.0,1.4,3.1,2001-02
Kenny Anderson,BOS,9.6,5.3,0.436,3.6,0.1,1.9,0.273,1.6,2.8,2001-02
Tim Hardaway,2TM,9.6,4.1,0.365,1.8,0.1,0.8,0.347,1.6,1.6,2001-02
Tim Hardaway,DAL,9.6,3.7,0.362,1.8,0.1,0.7,0.341,1.4,1.6,2001-02
Tim Hardaway,DEN,9.6,5.5,0.373,1.9,0.1,1.2,0.373,2.7,1.8,2001-02
Anthony Mason,MIL,9.6,4.2,0.505,7.9,0.3,0.7,1.0,1.6,2.3,2001-02
Bryon Russell,UTA,9.6,2.1,0.38,4.5,0.3,1.0,0.341,1.7,3.1,2001-02
Tony Delk,2TM,9.5,2.1,0.384,3.2,0.2,0.8,0.313,0.9,1.6,2001-02
Tony Delk,PHO,10.6,2.0,0.399,3.0,0.1,0.8,0.32,1.0,1.5,2001-02
Tony Delk,BOS,7.4,2.3,0.349,3.6,0.3,1.0,0.299,0.9,1.7,2001-02
Dale Davis,POR,9.5,1.2,0.51,8.8,1.1,0.8,,0.8,2.5,2001-02
Darius Miles,LAC,9.5,2.2,0.481,5.5,1.3,0.9,0.158,2.0,2.2,2001-02
Rodney Buford,MEM,9.4,1.1,0.435,4.3,0.2,0.7,0.243,1.0,1.7,2001-02
Richard Jefferson,NJN,9.4,1.8,0.457,3.7,0.6,0.8,0.232,1.4,2.7,2001-02
Malik Rose,SAS,9.4,0.7,0.463,6.0,0.5,0.9,0.083,1.7,2.5,2001-02
Jamaal Tinsley,IND,9.4,8.1,0.38,3.7,0.5,1.7,0.24,3.4,3.1,2001-02
Walt Williams,HOU,9.4,1.4,0.419,3.4,0.2,0.4,0.426,1.1,2.2,2001-02
Jamal Crawford,CHI,9.3,2.4,0.476,1.5,0.2,0.8,0.448,1.4,0.8,2001-02
Brian Grant,MIA,9.3,1.9,0.469,8.0,0.4,0.7,0.0,1.7,3.3,2001-02
Isaiah Rider,DEN,9.3,1.2,0.457,3.3,0.2,0.3,0.4,1.4,1.1,2001-02
Antonio Daniels,SAS,9.2,2.8,0.44,2.1,0.1,0.6,0.291,0.9,1.3,2001-02
Tony Parker,SAS,9.2,4.3,0.419,2.6,0.1,1.2,0.323,2.0,2.2,2001-02
Lucious Harris,NJN,9.1,1.6,0.464,2.8,0.1,0.7,0.373,0.8,1.3,2001-02
Jon Barry,DET,9.0,3.3,0.489,2.9,0.2,1.1,0.469,1.4,1.6,2001-02
Anthony Peeler,MIN,9.0,2.2,0.421,2.5,0.1,0.7,0.392,0.9,1.7,2001-02
Eddie Robinson,CHI,9.0,1.3,0.453,2.7,0.4,0.8,0.4,1.2,1.2,2001-02
Dion Glover,ATL,8.9,1.5,0.421,3.1,0.3,0.8,0.33,1.4,1.6,2001-02
Eddie Griffin,HOU,8.8,0.7,0.366,5.7,1.8,0.2,0.33,0.6,1.6,2001-02
George McCloud,DEN,8.8,3.0,0.358,3.6,0.3,0.8,0.27,2.1,2.5,2001-02
Eric Piatkowski,LAC,8.8,1.6,0.439,2.6,0.2,0.6,0.466,0.9,1.5,2001-02
Clarence Weatherspoon,NYK,8.8,1.1,0.418,8.2,0.9,0.7,,0.8,2.4,2001-02
Trenton Hassell,CHI,8.7,2.2,0.425,3.3,0.6,0.7,0.364,1.3,2.4,2001-02
Theo Ratliff,ATL,8.7,0.3,0.5,5.3,2.7,0.3,,2.3,2.7,2001-02
Glen Rice,HOU,8.6,1.6,0.389,2.4,0.2,0.6,0.281,1.2,1.7,2001-02
Jamaal Magloire,CHH,8.5,0.4,0.551,5.6,1.0,0.3,0.0,1.4,2.5,2001-02
P.J. Brown,CHH,8.4,1.3,0.474,9.8,1.0,0.7,,1.1,2.8,2001-02
Mark Jackson,NYK,8.4,7.4,0.439,3.8,0.0,0.9,0.405,1.8,2.0,2001-02
DerMarr Johnson,ATL,8.4,1.1,0.396,3.4,0.8,0.9,0.36,1.4,2.3,2001-02
Rasho Nesterović,MIN,8.4,0.9,0.493,6.5,1.3,0.5,0.0,1.1,3.2,2001-02
Jumaine Jones,CLE,8.3,1.4,0.448,6.0,0.6,0.9,0.31,1.0,2.3,2001-02
Moochie Norris,HOU,8.1,4.9,0.398,3.0,0.0,1.0,0.269,1.9,1.6,2001-02
Horace Grant,ORL,8.0,1.4,0.513,6.3,0.6,0.8,,0.7,1.6,2001-02
Tyrone Hill,CLE,8.0,0.9,0.39,10.5,0.5,0.7,0.0,1.8,3.9,2001-02
Eddie House,MIA,8.0,1.9,0.399,1.7,0.1,0.7,0.344,1.3,1.5,2001-02
Ira Newble,ATL,8.0,1.1,0.498,5.3,0.5,0.9,0.143,1.2,2.8,2001-02
Avery Johnson,2TM,7.9,4.2,0.479,1.0,0.1,0.6,0.0,1.1,1.3,2001-02
Avery Johnson,DEN,9.4,5.1,0.486,1.3,0.2,0.7,0.0,1.3,1.4,2001-02
Avery Johnson,DAL,3.2,1.6,0.429,0.3,0.1,0.3,,0.5,1.0,2001-02
Travis Best,2TM,7.9,4.4,0.44,2.0,0.1,1.2,0.356,1.3,2.3,2001-02
Travis Best,IND,6.9,4.0,0.439,1.6,0.1,1.3,0.382,1.3,2.3,2001-02
Travis Best,CHI,9.3,5.0,0.441,2.7,0.0,1.1,0.32,1.3,2.4,2001-02
Greg Anthony,2TM,7.9,4.7,0.385,2.2,0.1,1.3,0.294,1.6,1.9,2001-02
Greg Anthony,CHI,8.4,5.6,0.394,2.4,0.1,1.4,0.322,1.6,2.0,2001-02
Greg Anthony,MIL,7.2,3.3,0.372,1.8,0.0,1.2,0.26,1.5,1.8,2001-02
Rick Fox,LAL,7.9,3.5,0.421,4.7,0.3,0.8,0.313,1.6,3.0,2001-02
Tyronn Lue,WAS,7.8,3.5,0.427,1.7,0.0,0.7,0.447,1.4,1.7,2001-02
Othella Harrington,NYK,7.7,0.5,0.527,4.5,0.5,0.4,0.0,1.2,3.2,2001-02
Chris Mihm,CLE,7.7,0.3,0.42,5.3,1.2,0.2,0.429,1.3,3.5,2001-02
Erick Strickland,BOS,7.7,2.3,0.389,2.7,0.0,0.7,0.385,1.2,1.8,2001-02
Chris Crawford,ATL,7.6,0.7,0.467,3.6,0.7,0.3,0.0,1.4,3.0,2001-02
Erick Dampier,GSW,7.6,1.2,0.435,5.3,2.3,0.2,,2.1,3.2,2001-02
Ben Wallace,DET,7.6,1.4,0.531,13.0,3.5,1.7,0.0,0.9,2.2,2001-02
Jerome Williams,TOR,7.6,1.1,0.49,5.7,0.4,1.1,,1.0,2.3,2001-02
Joe Johnson,2TM,7.5,2.3,0.43,3.3,0.3,0.8,0.292,0.9,1.5,2001-02
Joe Johnson,BOS,6.3,1.5,0.439,2.9,0.2,0.7,0.273,0.6,1.2,2001-02
Joe Johnson,PHO,9.6,3.6,0.42,4.1,0.4,0.9,0.333,1.5,1.9,2001-02
Gary Trent,MIN,7.5,0.9,0.507,4.2,0.4,0.3,0.0,0.9,2.5,2001-02
Jonathan Bender,IND,7.4,0.8,0.43,3.1,0.6,0.2,0.36,1.2,1.9,2001-02
Chris Mills,GSW,7.4,1.1,0.417,2.9,0.2,0.5,0.378,0.8,1.8,2001-02
Charles Smith,SAS,7.4,1.3,0.425,2.2,0.7,0.9,0.267,1.0,1.9,2001-02
Calbert Cheaney,DEN,7.3,1.6,0.481,3.5,0.3,0.5,0.0,1.0,2.3,2001-02
Jake Tsakalidis,PHO,7.3,0.3,0.475,5.6,1.0,0.3,0.0,1.2,2.9,2001-02
Speedy Claxton,PHI,7.2,3.0,0.4,2.4,0.1,1.4,0.121,1.4,2.2,2001-02
Hubert Davis,WAS,7.2,2.1,0.448,1.5,0.1,0.5,0.452,0.9,1.1,2001-02
Adrian Griffin,DAL,7.2,1.8,0.499,3.9,0.2,1.3,0.296,0.7,2.4,2001-02
Aaron Williams,NJN,7.2,0.9,0.526,4.1,0.9,0.4,0.0,1.0,2.6,2001-02
LaPhonso Ellis,MIA,7.1,0.8,0.418,4.3,0.6,0.5,0.306,1.1,3.0,2001-02
Devean George,LAL,7.1,1.4,0.411,3.7,0.5,0.9,0.371,0.8,2.3,2001-02
Christian Laettner,WAS,7.1,2.6,0.464,5.3,0.4,1.1,0.2,1.5,2.3,2001-02
Hakeem Olajuwon,TOR,7.1,1.1,0.464,6.0,1.5,1.2,0.0,1.6,2.4,2001-02
Monty Williams,ORL,7.1,1.4,0.547,3.5,0.3,0.7,0.0,1.3,2.0,2001-02
Bruce Bowen,SAS,7.0,1.5,0.389,2.7,0.4,1.1,0.378,1.1,2.0,2001-02
Popeye Jones,WAS,7.0,1.6,0.437,7.3,0.2,0.6,0.364,1.1,2.6,2001-02
Brevin Knight,MEM,7.0,5.7,0.422,2.1,0.1,1.5,0.25,2.1,2.5,2001-02
Tony Battie,BOS,6.9,0.5,0.541,6.5,0.9,0.8,0.0,0.7,3.0,2001-02
John Crotty,UTA,6.9,3.4,0.471,1.8,0.0,0.5,0.449,1.2,1.9,2001-02
Željko Rebrača,DET,6.9,0.5,0.505,3.9,1.0,0.4,,1.1,2.6,2001-02
Austin Croshere,IND,6.8,1.0,0.413,3.9,0.4,0.3,0.338,0.9,1.4,2001-02
Predrag Drobnjak,SEA,6.8,0.8,0.461,3.4,0.5,0.3,0.0,0.8,1.7,2001-02
Robert Horry,LAL,6.8,2.9,0.398,5.9,1.1,1.0,0.374,1.1,2.6,2001-02
Dana Barros,DET,6.7,2.7,0.385,2.0,0.1,0.5,0.338,1.1,1.3,2001-02
Eddy Curry,CHI,6.7,0.3,0.501,3.8,0.7,0.2,,1.0,2.4,2001-02
Scott Padgett,UTA,6.7,1.1,0.476,3.8,0.2,0.6,0.434,0.9,1.9,2001-02
Vladimir Radmanović,SEA,6.7,1.3,0.412,3.8,0.4,0.9,0.42,1.2,2.0,2001-02
Samaki Walker,LAL,6.7,0.9,0.512,7.0,1.3,0.4,,0.8,2.5,2001-02
Kelvin Cato,HOU,6.6,0.4,0.583,7.0,1.3,0.5,0.0,0.7,2.8,2001-02
Emanual Davis,ATL,6.6,2.4,0.354,2.6,0.2,1.0,0.341,1.9,2.4,2001-02
Jacque Vaughn,ATL,6.6,4.3,0.47,2.0,0.0,0.8,0.444,1.4,2.2,2001-02
Tom Gugliotta,PHO,6.5,1.8,0.422,5.0,0.7,0.9,0.333,1.4,2.6,2001-02
Eduardo Nájera,DAL,6.5,0.6,0.5,5.5,0.5,0.9,0.0,0.6,2.5,2001-02
Jarron Collins,UTA,6.4,0.8,0.461,4.2,0.3,0.4,0.0,0.8,3.3,2001-02
Dell Curry,TOR,6.4,1.1,0.406,1.4,0.1,0.4,0.344,0.7,0.9,2001-02
Chris Gatling,MIA,6.4,0.5,0.447,3.8,0.2,0.3,0.125,1.1,2.0,2001-02
Scot Pollard,SAC,6.4,0.7,0.55,7.1,1.0,0.9,,0.9,2.5,2001-02
Ansu Sesay,SEA,6.4,0.9,0.5,2.2,0.2,0.3,,0.2,2.0,2001-02
Eric Williams,BOS,6.4,1.5,0.374,3.0,0.1,1.0,0.279,1.3,2.4,2001-02
Grant Long,MEM,6.3,2.1,0.426,3.5,0.2,1.0,0.176,1.6,1.9,2001-02
Tyrone Nesby,WAS,6.3,1.3,0.435,4.5,0.3,0.9,0.277,0.7,2.3,2001-02
Calvin Booth,SEA,6.2,1.1,0.427,3.6,0.9,0.4,,1.1,3.1,2001-02
Tyson Chandler,CHI,6.1,0.8,0.497,4.8,1.3,0.4,,1.4,2.5,2001-02
Shawn Kemp,POR,6.1,0.7,0.43,3.8,0.4,0.6,0.0,1.1,2.5,2001-02
Kevin Willis,HOU,6.1,0.3,0.44,5.8,0.4,0.5,0.0,0.8,1.9,2001-02
Patrick Ewing,ORL,6.0,0.5,0.444,4.0,0.7,0.3,0.0,1.0,2.0,2001-02
Zendon Hamilton,DEN,6.0,0.3,0.42,4.7,0.3,0.4,,1.1,1.9,2001-02
Óscar Torres,HOU,6.0,0.6,0.396,1.9,0.1,0.4,0.294,0.8,1.0,2001-02
Troy Murphy,GSW,5.9,0.9,0.421,3.9,0.3,0.4,0.333,1.0,2.6,2001-02
Greg Buckner,DAL,5.8,1.1,0.525,3.9,0.4,0.7,0.313,0.6,2.8,2001-02
Lindsey Hunter,LAL,5.8,1.6,0.382,1.5,0.2,0.8,0.38,0.7,1.5,2001-02
Rusty LaRue,UTA,5.8,2.2,0.395,1.5,0.2,0.5,0.34,1.3,1.8,2001-02
Donnell Harvey,2TM,5.7,0.8,0.498,4.8,0.5,0.4,,0.7,2.4,2001-02
Donnell Harvey,DAL,2.1,0.3,0.538,2.6,0.3,0.2,,0.4,1.5,2001-02
Donnell Harvey,DEN,8.0,1.1,0.492,6.2,0.7,0.6,,0.9,3.0,2001-02
Kevin Ollie,2TM,5.7,3.6,0.388,2.3,0.0,0.8,0.5,1.3,1.2,2001-02
Kevin Ollie,CHI,5.8,3.7,0.383,2.5,0.0,0.7,0.5,1.5,1.2,2001-02
Kevin Ollie,IND,5.4,3.4,0.4,1.9,0.0,0.9,,0.9,1.1,2001-02
Jeff Foster,IND,5.7,0.9,0.449,6.8,0.5,0.9,0.133,1.0,2.8,2001-02
Kendall Gill,MIA,5.7,1.5,0.384,2.8,0.1,0.7,0.136,0.8,2.2,2001-02
Tracy Murray,TOR,5.7,0.5,0.411,1.3,0.2,0.3,0.385,0.6,1.0,2001-02
Tariq Abdul-Wahad,2TM,5.6,1.0,0.374,3.5,0.4,0.8,0.5,1.1,2.3,2001-02
Tariq Abdul-Wahad,DEN,6.8,1.1,0.379,3.9,0.5,0.9,0.5,1.2,2.6,2001-02
Tariq Abdul-Wahad,DAL,0.0,0.5,0.0,1.5,0.3,0.5,,0.8,1.3,2001-02
Wang Zhizhi,DAL,5.6,0.4,0.44,2.0,0.3,0.2,0.414,0.5,1.5,2001-02
Alan Henderson,ATL,5.5,0.4,0.509,3.7,0.6,0.4,1.0,0.8,1.5,2001-02
Tony Massenburg,MEM,5.5,0.4,0.456,4.4,0.4,0.4,1.0,0.9,2.4,2001-02
Elliot Perry,MEM,5.5,3.5,0.5,2.0,0.0,1.5,,3.5,3.0,2001-02
Terry Porter,SAS,5.5,2.8,0.424,2.3,0.2,0.6,0.415,1.2,1.2,2001-02
A.J. Guyton,CHI,5.4,1.8,0.361,1.0,0.2,0.2,0.374,0.8,0.5,2001-02
Jahidi White,WAS,5.4,0.2,0.538,6.3,1.1,0.4,,0.9,2.3,2001-02
Jerome James,SEA,5.3,0.4,0.491,4.1,1.5,0.4,,1.3,3.1,2001-02
Kenny Satterfield,DEN,5.3,3.0,0.367,1.4,0.0,0.9,0.259,1.5,1.2,2001-02
Will Solomon,MEM,5.2,1.5,0.341,1.1,0.1,0.6,0.284,1.0,1.2,2001-02
Charlie Ward,NYK,5.2,3.2,0.373,2.0,0.2,1.1,0.323,1.2,1.6,2001-02
Mengke Bateer,DEN,5.1,0.8,0.402,3.6,0.2,0.4,0.333,1.2,3.5,2001-02
Brendan Haywood,WAS,5.1,0.5,0.493,5.2,1.5,0.3,,0.8,2.5,2001-02
Damon Jones,DET,5.1,2.1,0.401,1.5,0.0,0.3,0.371,0.9,1.2,2001-02
