winner_binary,oof_xgb_prob,oof_xgb_pred,oof_nn_prob,oof_nn_pred
1.0,0.7052294015884399,1,0.7200396060943604,1
1.0,0.4370739459991455,0,0.44355279207229614,0
1.0,0.6683189868927002,1,0.819354772567749,1
0.0,0.7417415976524353,1,0.8263301849365234,1
1.0,0.4494789242744446,0,0.23659373819828033,0
1.0,0.7443466782569885,1,0.7343779802322388,1
0.0,0.8263469338417053,1,0.9062879085540771,1
1.0,0.5410065054893494,1,0.44601142406463623,0
1.0,0.5962024927139282,1,0.539064884185791,1
1.0,0.794550895690918,1,0.7487553358078003,1
1.0,0.6128438711166382,1,0.864345908164978,1
0.0,0.2739924192428589,0,0.1164330467581749,0
0.0,0.6128438711166382,1,0.864345908164978,1
1.0,0.2739924192428589,0,0.1164330467581749,0
0.0,0.5962024927139282,1,0.539064884185791,1
1.0,0.7740575075149536,1,0.8207458853721619,1
0.0,0.6730979681015015,1,0.6968165636062622,1
1.0,0.7010095119476318,1,0.6998317837715149,1
1.0,0.6919806599617004,1,0.7987149357795715,1
1.0,0.4472900331020355,0,0.3431102931499481,0
1.0,0.3962080180644989,0,0.28398287296295166,0
1.0,0.5668020248413086,1,0.6832919716835022,1
1.0,0.7042862176895142,1,0.4453794062137604,0
1.0,0.7478014230728149,1,0.6196354627609253,1
0.0,0.3270878195762634,0,0.24808017909526825,0
0.0,0.4608238935470581,0,0.3459981679916382,0
1.0,0.28885164856910706,0,0.3786252737045288,0
1.0,0.35702958703041077,0,0.23725832998752594,0
0.0,0.4589688181877136,0,0.5227617621421814,1
0.0,0.394845575094223,0,0.3305956721305847,0
0.0,0.41748154163360596,0,0.5063962936401367,1
1.0,0.47980573773384094,0,0.4339490830898285,0
0.0,0.6267692446708679,1,0.6069586277008057,1
1.0,0.45038238167762756,0,0.23645752668380737,0
1.0,0.6574215292930603,1,0.6380323171615601,1
0.0,0.6768370270729065,1,0.6378581523895264,1
0.0,0.5758934020996094,1,0.6818469762802124,1
0.0,0.298828125,0,0.40338507294654846,0
0.0,0.7397621870040894,1,0.616938591003418,1
0.0,0.6753948330879211,1,0.44384366273880005,0
0.0,0.5986288785934448,1,0.6799255609512329,1
0.0,0.24178670346736908,0,0.22558948397636414,0
1.0,0.6744372844696045,1,0.5508667230606079,1
0.0,0.6620659828186035,1,0.6185775995254517,1
1.0,0.5863561630249023,1,0.8199169635772705,1
0.0,0.42003515362739563,0,0.41068485379219055,0
0.0,0.6313031315803528,1,0.6192073225975037,1
1.0,0.3964589834213257,0,0.3750027120113373,0
1.0,0.7314004302024841,1,0.624742865562439,1
1.0,0.7868423461914062,1,0.8064576387405396,1
0.0,0.48344454169273376,0,0.2448275089263916,0
1.0,0.673176646232605,1,0.6761062145233154,1
1.0,0.5753974914550781,1,0.45607954263687134,0
0.0,0.3611076772212982,0,0.3119744062423706,0
0.0,0.7515597939491272,1,0.8251692056655884,1
0.0,0.6182578802108765,1,0.7619074583053589,1
1.0,0.8090420365333557,1,0.8814963102340698,1
0.0,0.30138063430786133,0,0.28679153323173523,0
1.0,0.5606626272201538,1,0.49375131726264954,0
0.0,0.6793476343154907,1,0.771493673324585,1
0.0,0.23373174667358398,0,0.10898710042238235,0
0.0,0.4523044228553772,0,0.4196021854877472,0
1.0,0.8040611743927002,1,0.8639364242553711,1
1.0,0.5670424103736877,1,0.5235289931297302,1
1.0,0.42489007115364075,0,0.4972841441631317,0
1.0,0.6042929291725159,1,0.5201693773269653,1
0.0,0.20499290525913239,0,0.05519688501954079,0
0.0,0.375883013010025,0,0.34131699800491333,0
1.0,0.5255802273750305,1,0.4099118709564209,0
1.0,0.7096308469772339,1,0.8344991207122803,1
1.0,0.8128713369369507,1,0.8882709741592407,1
1.0,0.5193464159965515,1,0.5790619254112244,1
1.0,0.8491172194480896,1,0.8825218081474304,1
1.0,0.7048348784446716,1,0.8284469842910767,1
0.0,0.7273162603378296,1,0.62617027759552,1
0.0,0.45012927055358887,0,0.38937437534332275,0
0.0,0.5278511643409729,1,0.41288626194000244,0
1.0,0.7885339856147766,1,0.9189426302909851,1
1.0,0.7766229510307312,1,0.8585693836212158,1
1.0,0.8546101450920105,1,0.9336503744125366,1
0.0,0.5134708881378174,1,0.575782299041748,1
1.0,0.3309610188007355,0,0.23242351412773132,0
1.0,0.7975859642028809,1,0.696937620639801,1
1.0,0.7788538336753845,1,0.9187014102935791,1
1.0,0.6475887298583984,1,0.5628912448883057,1
0.0,0.6129895448684692,1,0.787167489528656,1
0.0,0.6010609269142151,1,0.8491208553314209,1
0.0,0.4100022315979004,0,0.2729301452636719,0
1.0,0.6744202375411987,1,0.7296016216278076,1
1.0,0.5637222528457642,1,0.7116938829421997,1
0.0,0.3956190347671509,0,0.2995941936969757,0
1.0,0.6498934626579285,1,0.7183589339256287,1
1.0,0.8511019349098206,1,0.918293833732605,1
0.0,0.19148872792720795,0,0.05868934094905853,0
1.0,0.6542302370071411,1,0.6925429105758667,1
0.0,0.6616083979606628,1,0.7276465892791748,1
1.0,0.3791705369949341,0,0.34147530794143677,0
1.0,0.6148694157600403,1,0.6795862317085266,1
1.0,0.5312798619270325,1,0.5541183352470398,1
1.0,0.8650074005126953,1,0.9720085859298706,1
0.0,0.32049065828323364,0,0.2069147825241089,0
0.0,0.22797921299934387,0,0.22456732392311096,0
0.0,0.8088688850402832,1,0.9219602346420288,1
0.0,0.45437565445899963,0,0.21094560623168945,0
1.0,0.6765799522399902,1,0.8594018220901489,1
1.0,0.6659844517707825,1,0.6507095098495483,1
1.0,0.7151898145675659,1,0.8405569791793823,1
0.0,0.34192612767219543,0,0.24965664744377136,0
0.0,0.6660318970680237,1,0.7493399381637573,1
0.0,0.16451714932918549,0,0.04611463099718094,0
1.0,0.7453165054321289,1,0.6835519075393677,1
1.0,0.6160066723823547,1,0.311946302652359,0
1.0,0.7236499190330505,1,0.46329429745674133,0
1.0,0.7049365639686584,1,0.695252537727356,1
0.0,0.5434283018112183,1,0.5762469172477722,1
1.0,0.8459353446960449,1,0.9577291011810303,1
0.0,0.5501218438148499,1,0.46575671434402466,0
0.0,0.39204123616218567,0,0.44057589769363403,0
0.0,0.7564050555229187,1,0.8757410645484924,1
0.0,0.5534428954124451,1,0.24776826798915863,0
0.0,0.5056540966033936,1,0.6469733715057373,1
1.0,0.65682053565979,1,0.53578120470047,1
0.0,0.4774121940135956,0,0.4797748625278473,0
1.0,0.2373710423707962,0,0.14942486584186554,0
1.0,0.35702958703041077,0,0.23725832998752594,0
1.0,0.4427458345890045,0,0.6825711131095886,1
0.0,0.6450438499450684,1,0.7478431463241577,1
0.0,0.32532569766044617,0,0.13856318593025208,0
0.0,0.36494460701942444,0,0.2356240153312683,0
1.0,0.31449297070503235,0,0.10534844547510147,0
1.0,0.4174979329109192,0,0.2726595401763916,0
1.0,0.773825466632843,1,0.7128332853317261,1
0.0,0.7020150423049927,1,0.8438846468925476,1
1.0,0.42575061321258545,0,0.5378390550613403,1
0.0,0.31966421008110046,0,0.43433937430381775,0
1.0,0.6849621534347534,1,0.8818265199661255,1
0.0,0.68475741147995,1,0.7678864598274231,1
1.0,0.5244688987731934,1,0.695497989654541,1
1.0,0.8025611042976379,1,0.9066511392593384,1
1.0,0.4241185188293457,0,0.32409387826919556,0
0.0,0.4472900331020355,0,0.3431102931499481,0
0.0,0.3618420660495758,0,0.2750326693058014,0
1.0,0.6374616622924805,1,0.6716025471687317,1
1.0,0.8208495378494263,1,0.9624074697494507,1
1.0,0.5565516352653503,1,0.6205062866210938,1
1.0,0.6596572399139404,1,0.8215239644050598,1
0.0,0.515270471572876,1,0.27307504415512085,0
0.0,0.5664229393005371,1,0.45542463660240173,0
0.0,0.6399391293525696,1,0.5219305753707886,1
1.0,0.6682795882225037,1,0.7269216775894165,1
1.0,0.6655253767967224,1,0.6050686836242676,1
1.0,0.8469263315200806,1,0.9304094910621643,1
0.0,0.7168200016021729,1,0.9092174768447876,1
1.0,0.4374076724052429,0,0.4592285752296448,0
0.0,0.38586685061454773,0,0.35972335934638977,0
0.0,0.8011460304260254,1,0.9072740077972412,1
0.0,0.29288503527641296,0,0.12992806732654572,0
1.0,0.7336642742156982,1,0.9407520294189453,1
0.0,0.4082324206829071,0,0.23908522725105286,0
0.0,0.5460532307624817,1,0.6423015594482422,1
0.0,0.35511064529418945,0,0.28213435411453247,0
0.0,0.5851603746414185,1,0.5804985165596008,1
1.0,0.775387704372406,1,0.7998605370521545,1
1.0,0.6770563125610352,1,0.89484041929245,1
1.0,0.3154866695404053,0,0.27198201417922974,0
1.0,0.5075907111167908,1,0.2605546712875366,0
1.0,0.6844010353088379,1,0.6385537385940552,1
0.0,0.40384477376937866,0,0.33078956604003906,0
1.0,0.6909250020980835,1,0.853575587272644,1
0.0,0.44551366567611694,0,0.2359466403722763,0
0.0,0.3884322941303253,0,0.1560983657836914,0
1.0,0.823576807975769,1,0.8705765008926392,1
0.0,0.5327185392379761,1,0.6045724749565125,1
0.0,0.34565550088882446,0,0.23212583363056183,0
0.0,0.5499995946884155,1,0.41642001271247864,0
0.0,0.5087466239929199,1,0.5473927855491638,1
0.0,0.22305439412593842,0,0.07670489698648453,0
0.0,0.3363153040409088,0,0.08589759469032288,0
1.0,0.6877538561820984,1,0.8985730409622192,1
1.0,0.819068968296051,1,0.8237016797065735,1
0.0,0.5321277976036072,1,0.3464953899383545,0
1.0,0.6079707145690918,1,0.5905147790908813,1
1.0,0.724863588809967,1,0.8137714862823486,1
0.0,0.7638087272644043,1,0.888374388217926,1
1.0,0.6260364651679993,1,0.6721829771995544,1
1.0,0.7644596695899963,1,0.6407527923583984,1
1.0,0.3535899817943573,0,0.17521844804286957,0
0.0,0.707301676273346,1,0.6863386631011963,1
0.0,0.6445388197898865,1,0.6342741250991821,1
1.0,0.6515517830848694,1,0.7254981398582458,1
0.0,0.4586578607559204,0,0.5322466492652893,1
0.0,0.634687602519989,1,0.6493354439735413,1
1.0,0.7116354703903198,1,0.8791884183883667,1
1.0,0.6781349778175354,1,0.6963061690330505,1
1.0,0.7444185018539429,1,0.8860430717468262,1
0.0,0.6464585661888123,1,0.3931254744529724,0
1.0,0.8300000429153442,1,0.9512363076210022,1
0.0,0.322641521692276,0,0.2874261736869812,0
1.0,0.4385233521461487,0,0.18259207904338837,0
1.0,0.6449156999588013,1,0.83904629945755,1
0.0,0.5466338396072388,1,0.28290778398513794,0
0.0,0.24344657361507416,0,0.08242499828338623,0
0.0,0.61222904920578,1,0.4741660952568054,0
0.0,0.41773948073387146,0,0.3289421498775482,0
0.0,0.6136393547058105,1,0.5698778033256531,1
1.0,0.6720849275588989,1,0.6360386610031128,1
1.0,0.7429955005645752,1,0.554643988609314,1
0.0,0.5563209056854248,1,0.6204373836517334,1
1.0,0.6538262963294983,1,0.7527437210083008,1
1.0,0.7541122436523438,1,0.7552036046981812,1
0.0,0.47362610697746277,0,0.521609902381897,1
0.0,0.7186316847801208,1,0.8129411339759827,1
1.0,0.6725003123283386,1,0.819909393787384,1
0.0,0.3612385392189026,0,0.49747568368911743,0
0.0,0.4102410078048706,0,0.18674975633621216,0
0.0,0.49781128764152527,0,0.40194907784461975,0
1.0,0.5037992596626282,1,0.3365582823753357,0
1.0,0.7582124471664429,1,0.8112332820892334,1
0.0,0.624157726764679,1,0.5360348224639893,1
1.0,0.7070193290710449,1,0.6501001119613647,1
0.0,0.31720858812332153,0,0.2106039971113205,0
0.0,0.4566930830478668,0,0.24841487407684326,0
1.0,0.752650797367096,1,0.7991486191749573,1
1.0,0.38770371675491333,0,0.37713584303855896,0
1.0,0.5325931310653687,1,0.6186040639877319,1
0.0,0.413779079914093,0,0.3844165503978729,0
1.0,0.45433810353279114,0,0.3621461093425751,0
1.0,0.8706731200218201,1,0.9680283665657043,1
1.0,0.6958529949188232,1,0.7291957139968872,1
1.0,0.6883937120437622,1,0.8671970963478088,1
0.0,0.5186337828636169,1,0.5286935567855835,1
0.0,0.22875657677650452,0,0.11676499247550964,0
0.0,0.29554957151412964,0,0.1666492521762848,0
1.0,0.6258196234703064,1,0.5767892599105835,1
0.0,0.3224223852157593,0,0.27408018708229065,0
0.0,0.6058835387229919,1,0.35545310378074646,0
0.0,0.6313085556030273,1,0.6095109581947327,1
0.0,0.7867820262908936,1,0.7982760071754456,1
0.0,0.3615110516548157,0,0.19025610387325287,0
0.0,0.22493073344230652,0,0.12558263540267944,0
0.0,0.296864777803421,0,0.08956997841596603,0
1.0,0.6769787073135376,1,0.6099019050598145,1
1.0,0.44199177622795105,0,0.287739098072052,0
1.0,0.574399471282959,1,0.6803754568099976,1
0.0,0.31395697593688965,0,0.24992914497852325,0
1.0,0.5478668808937073,1,0.6620627641677856,1
1.0,0.5217825174331665,1,0.4093925952911377,0
0.0,0.3199121356010437,0,0.11602289229631424,0
0.0,0.7287452816963196,1,0.8313763737678528,1
1.0,0.5041882991790771,1,0.5939345955848694,1
0.0,0.3842889368534088,0,0.2191246598958969,0
1.0,0.6500154733657837,1,0.7981234788894653,1
1.0,0.4728590250015259,0,0.5475730895996094,1
0.0,0.493643194437027,0,0.7991557717323303,1
0.0,0.2881288528442383,0,0.08200903981924057,0
0.0,0.42211294174194336,0,0.26150837540626526,0
1.0,0.47721588611602783,0,0.4139411449432373,0
1.0,0.787912905216217,1,0.9132805466651917,1
0.0,0.5730882287025452,1,0.5910329818725586,1
0.0,0.2790168821811676,0,0.13591189682483673,0
0.0,0.23179204761981964,0,0.045654602348804474,0
1.0,0.5394317507743835,1,0.33383792638778687,0
0.0,0.6115612983703613,1,0.638982892036438,1
0.0,0.4457598328590393,0,0.18719321489334106,0
1.0,0.8600417971611023,1,0.9510233998298645,1
1.0,0.4569988548755646,0,0.343256413936615,0
1.0,0.7864569425582886,1,0.6362543106079102,1
1.0,0.6917963624000549,1,0.803551197052002,1
1.0,0.4678962528705597,0,0.23653234541416168,0
1.0,0.38604968786239624,0,0.3450861871242523,0
0.0,0.18306371569633484,0,0.026741862297058105,0
1.0,0.5492139458656311,1,0.1880541443824768,0
0.0,0.5834685564041138,1,0.3585023581981659,0
1.0,0.4795723259449005,0,0.4566427767276764,0
1.0,0.8924496173858643,1,0.9832457304000854,1
1.0,0.5713369846343994,1,0.47451505064964294,0
0.0,0.23482677340507507,0,0.12370459735393524,0
0.0,0.6218629479408264,1,0.6030011177062988,1
1.0,0.742098331451416,1,0.866981565952301,1
0.0,0.5137892961502075,1,0.5582664012908936,1
1.0,0.26259690523147583,0,0.18266992270946503,0
1.0,0.7896722555160522,1,0.7954913377761841,1
1.0,0.4837307035923004,0,0.3227332532405853,0
1.0,0.658603847026825,1,0.5861169695854187,1
1.0,0.36371028423309326,0,0.20740632712841034,0
1.0,0.47222229838371277,0,0.08037612587213516,0
0.0,0.5644327998161316,1,0.23193363845348358,0
0.0,0.753486156463623,1,0.9319990277290344,1
1.0,0.8203123211860657,1,0.9813358187675476,1
1.0,0.5276486873626709,1,0.27631059288978577,0
0.0,0.6923528909683228,1,0.5766556262969971,1
1.0,0.6348855495452881,1,0.750564694404602,1
0.0,0.4682850241661072,0,0.3978634476661682,0
1.0,0.3876638412475586,0,0.17554539442062378,0
1.0,0.4958053529262543,0,0.54549241065979,1
1.0,0.832787275314331,1,0.7804226875305176,1
0.0,0.3464113175868988,0,0.1797875314950943,0
0.0,0.5662562251091003,1,0.601252555847168,1
1.0,0.7369760870933533,1,0.771638035774231,1
1.0,0.61972576379776,1,0.5880613327026367,1
1.0,0.7081042528152466,1,0.821974515914917,1
0.0,0.33929476141929626,0,0.10385231673717499,0
1.0,0.7055925130844116,1,0.7591924667358398,1
0.0,0.5810807347297668,1,0.24064901471138,0
0.0,0.6163113117218018,1,0.5209267139434814,1
1.0,0.6084943413734436,1,0.7107970714569092,1
0.0,0.40709003806114197,0,0.37979409098625183,0
1.0,0.8670711517333984,1,0.9489521980285645,1
1.0,0.3289470076560974,0,0.2521430552005768,0
1.0,0.5452665686607361,1,0.8316462635993958,1
1.0,0.5320051312446594,1,0.6918795108795166,1
0.0,0.6670072674751282,1,0.9072556495666504,1
0.0,0.7778275609016418,1,0.9381787180900574,1
0.0,0.8296442031860352,1,0.8192547559738159,1
1.0,0.6992069482803345,1,0.7413835525512695,1
1.0,0.5754886269569397,1,0.4686526656150818,0
1.0,0.6568992733955383,1,0.5938535928726196,1
1.0,0.4259851574897766,0,0.47475314140319824,0
1.0,0.5856560468673706,1,0.5238916873931885,1
0.0,0.2844080328941345,0,0.05551884323358536,0
0.0,0.1612808257341385,0,0.04057752713561058,0
1.0,0.49557721614837646,0,0.12324822694063187,0
1.0,0.48047563433647156,0,0.47423046827316284,0
0.0,0.44319233298301697,0,0.44386613368988037,0
1.0,0.7069069147109985,1,0.8029757738113403,1
0.0,0.32789480686187744,0,0.13346251845359802,0
1.0,0.5945199728012085,1,0.6364042162895203,1
0.0,0.6706461906433105,1,0.8273345232009888,1
0.0,0.5443524718284607,1,0.5659981369972229,1
0.0,0.19156329333782196,0,0.03469351679086685,0
0.0,0.42376047372817993,0,0.26147952675819397,0
1.0,0.48360341787338257,0,0.5297839641571045,1
1.0,0.6348631978034973,1,0.5228275656700134,1
0.0,0.6065738201141357,1,0.47149658203125,0
1.0,0.717250645160675,1,0.6362556219100952,1
0.0,0.7955216765403748,1,0.9658252000808716,1
0.0,0.7017345428466797,1,0.6850517392158508,1
0.0,0.4665900468826294,0,0.562422513961792,1
0.0,0.5989566445350647,1,0.39191433787345886,0
1.0,0.7387564778327942,1,0.7629518508911133,1
1.0,0.7648935914039612,1,0.9655949473381042,1
1.0,0.5744130611419678,1,0.5773592591285706,1
1.0,0.7448991537094116,1,0.9103250503540039,1
0.0,0.4919589161872864,0,0.1679178774356842,0
1.0,0.6834916472434998,1,0.8145395517349243,1
1.0,0.43190866708755493,0,0.24321511387825012,0
1.0,0.6828956007957458,1,0.7541050314903259,1
1.0,0.7589337229728699,1,0.8101570010185242,1
1.0,0.5878327488899231,1,0.28200069069862366,0
0.0,0.4585135579109192,0,0.3276353180408478,0
1.0,0.7448505163192749,1,0.7905850410461426,1
0.0,0.5744130611419678,1,0.5773592591285706,1
1.0,0.3347697854042053,0,0.23195302486419678,0
1.0,0.6981609463691711,1,0.6633874177932739,1
1.0,0.5944837331771851,1,0.7309533953666687,1
0.0,0.6383349895477295,1,0.7990645170211792,1
1.0,0.5483937859535217,1,0.5793972015380859,1
1.0,0.8701507449150085,1,0.9468713402748108,1
1.0,0.31715139746665955,0,0.209572434425354,0
0.0,0.7836989760398865,1,0.9128656387329102,1
1.0,0.6803644299507141,1,0.678915798664093,1
1.0,0.7556532621383667,1,0.9241437315940857,1
0.0,0.44316619634628296,0,0.282657265663147,0
0.0,0.4387871325016022,0,0.10459296405315399,0
1.0,0.7777646780014038,1,0.8145180940628052,1
1.0,0.6294978857040405,1,0.32034650444984436,0
0.0,0.35939356684684753,0,0.17729200422763824,0
