Feature,Importance
home_RestDays,0.076811427918008
away_RestDays,0.07377472529883719
away_travel_distance,0.0026889054701472242
home_WS/48_p1,0.0024111935010759926
away_WS/48_p1,0.002222207556648376
away_WS/48_p3,0.002189814463639242
home_WS_p1,0.002176561452406125
home_DWS_p3,0.002080328115247206
home_BPM_p1,0.0019120169910545803
home_WS/48_p3,0.001907394230495519
away_DWS_p3,0.0018677159593012973
home_WS_p2,0.0018440091247025813
home_WS_p3,0.0018347528268152092
home_WS/48_p2,0.0018001640022881188
away_WS_p2,0.0017622997625923692
away_WS_p3,0.0017530825229868626
home_DWS_p1,0.0016790741585110047
away_WS/48_p2,0.0016581144415611195
away_WS_p1,0.0016457572762652722
away_WS/48_p6,0.0016326486913417742
away_DWS_p7,0.001618229324289218
home_VORP_p1,0.0015997283827231359
home_OWS_p1,0.00157435698692201
away_DWS_p5,0.0015031552716955334
away_DWS_p2,0.0014747066952885421
home_DWS_p2,0.0014557049873400224
home_DWS_p4,0.0014552681238464656
away_DWS_p4,0.001446196892979634
home_DWS_p7,0.0014178185320884527
home_WS_p5,0.0014138910011947026
away_TS%_p1,0.001411358356454795
home_WS/48_p9,0.0013921979412223559
home_DWS_p5,0.0013836120139284907
away_DWS_p1,0.0013550173985330549
away_WS/48_p7,0.001341092794886789
home_DWS_p9,0.0013347472462780494
away_BPM_p1,0.0013247978953279192
away_WS_p4,0.0013234313086239178
home_WS_p4,0.0013020895875181467
away_DWS_p6,0.0012872557325374898
home_WS/48_p5,0.0012866919822459102
away_WS_p6,0.0012823907031665552
home_OWS_p3,0.0012741506234363448
away_WS/48_p4,0.0012692495943419835
away_VORP_p3,0.0012660082810617074
home_OWS_p2,0.0012596797016038363
away_OWS_p1,0.001243911920616831
away_DBPM_p7,0.0012308198462660958
away_average_overall_pick,0.001227198607197865
away_BPM_p2,0.0012124096997406775
away_WS_p7,0.0012072994879340456
away_DBPM_p9,0.001196571257043233
home_VORP_p3,0.0011913261131700798
away_PTS_per_game_p1,0.0011831430850774627
away_BPM_p3,0.001173060654455617
away_DBPM_p6,0.0011710502065578588
away_WS/48_p9,0.001164335924954356
home_DBPM_p3,0.0011638251075280495
