Memphis-Los Angeles,2885481
Cleveland-Phoenix,3240632
Denver-Portland,2001142
Boston-Utah,3804766
Detroit-Dallas,1909731
Houston-Miami,1913823
New Orleans-Minnesota,2217918
Charlotte-Oklahoma City,1772810
Philadelphia-San Antonio,2803864
Milwaukee-Los Angeles,3308630
Toronto-Golden State,4253539
Chicago-Sacramento,3284791
New York-Charlotte,1018573
Chicago-Phoenix,2821713
Memphis-Portland,3619371
Cleveland-Sacramento,3813423
Washington-Utah,3349019
Philadelphia-Oklahoma City,2225869
New York-San Antonio,2931322
Detroit-Miami,2231216
Dallas-Indiana,1578597
Houston-Orlando,1550358
Cleveland-Los Angeles,3772136
Milwaukee-Golden State,3508871
Brooklyn-Boston,348479
Atlanta-Charlotte,396210
Toronto-Phoenix,3564082
Memphis-Sacramento,3355394
Washington-Portland,4511208
Chicago-Utah,2249009
Philadelphia-Houston,2490728
Indiana-Minnesota,1208197
Detroit-New Orleans,1715286
Miami-New York,2068844
Oklahoma City-Milwaukee,1400563
Toronto-Portland,4220993
Phoenix-Los Angeles,598865
Philadelphia-Dallas,2362367
Orlando-Cleveland,1668961
Washington-Denver,2669920
New Orleans-San Antonio,872323
New York-Golden State,4666605
Chicago-Houston,1745284
Miami-Memphis,1701975
Oklahoma City-Detroit,1652738
Boston-Brooklyn,348634
Sacramento-Phoenix,1215659
Toronto-Utah,3058804
Dallas-Houston,384610
Cleveland-Memphis,1176040
Orlando-Minnesota,2774852
Charlotte-San Antonio,1984838
Los Angeles-Atlanta,3498288
Boston-Miami,2421226
Indiana-Philadelphia,1067655
Sacramento-Golden State,311035
Brooklyn-Chicago,1278264
Orlando-New Orleans,1027963
Los Angeles-Milwaukee,3313851
Washington-Detroit,844158
New York-Portland,4657179
Los Angeles-Miami,4402040
Phoenix-Houston,1892316
Utah-Memphis,2457254
Dallas-San Antonio,439632
Charlotte-Atlanta,396571
Oklahoma City-Boston,2717758
Philadelphia-Toronto,800815
Los Angeles-New Orleans,3047439
Brooklyn-Cleveland,752518
New York-Sacramento,4530771
Portland-Golden State,1243462
Indiana-Chicago,286254
Orlando-Houston,1549204
Phoenix-Memphis,2290870
Utah-Boston,3810180
Washington-Toronto,772723
Sacramento-Los Angeles,620572
Detroit-Portland,3838979
Cleveland-Milwaukee,715005
San Antonio-Minnesota,2265694
Utah-Philadelphia,3450353
Memphis-New Orleans,636054
Phoenix-Dallas,1712835
Los Angeles-Boston,4802386
Detroit-Golden State,3871526
Chicago-Miami,2222059
Orlando-Milwaukee,2013474
Indiana-Atlanta,983163
New Orleans-Houston,559187
Brooklyn-Charlotte,1023060
New York-Los Angeles,4466364
Phoenix-Denver,1321954
San Antonio-Sacramento,2790756
Minnesota-Miami,3137902
Portland-Oklahoma City,3073279
Utah-Toronto,3064834
Memphis-Dallas,728198
Cleveland-Charlotte,829947
Houston-New Orleans,559222
Philadelphia-Boston,489813
Golden State-Brooklyn,4703849
Chicago-Orlando,1858594
Detroit-Los Angeles,3671285
Sacramento-Denver,1876151
Dallas-Milwaukee,1613360
Portland-Boston,4972418
Minnesota-Charlotte,2133452
Utah-Washington,3349955
Los Angeles-Phoenix,600022
Brooklyn-San Antonio,2937798
Cleveland-Chicago,554440
Philadelphia-Minnesota,2144713
Milwaukee-Atlanta,1307739
Golden State-New York,4669671
Houston-Indiana,1765752
Toronto-Orlando,2060731
Detroit-Utah,2676790
Sacramento-Dallas,2778542
Atlanta-Memphis,630058
Houston-Oklahoma City,715986
Golden State-Charlotte,4095640
Portland-Philadelphia,4612592
Minnesota-Phoenix,2840620
Los Angeles-Los Angeles,0
New Orleans-Utah,2813336
Oklahoma City-San Antonio,750388
New York-Miami,2078107
Chicago-Indiana,283534
Portland-Cleveland,3946888
Denver-Boston,3175929
Golden State-Philadelphia,4561593
Milwaukee-Dallas,1625149
Sacramento-Houston,3106535
San Antonio-Memphis,1166034
Brooklyn-Detroit,996604
Washington-Charlotte,645878
Minnesota-Utah,1972926
New Orleans-Phoenix,2448356
Indiana-Miami,2051814
New York-Memphis,1762764
Oklahoma City-Atlanta,1364441
Cleveland-Boston,1028016
Portland-Brooklyn,4669234
Denver-Detroit,2048571
Charlotte-Dallas,1656090
Denver-Milwaukee,1687393
Golden State-Orlando,4253927
San Antonio-Houston,316544
Sacramento-Utah,1044879
Oklahoma City-Brooklyn,2368063
Boston-Detroit,1135632
Toronto-Indiana,706958
Portland-Washington,4512194
Charlotte-Golden State,4108194
Milwaukee-Houston,1862593
San Antonio-New Orleans,873085
Cleveland-Orlando,1668539
Boston-Toronto,883761
Charlotte-Sacramento,4377866
Los Angeles-Detroit,3675029
Denver-Indiana,1879070
Memphis-Cleveland,1175413
Detroit-Atlanta,1162565
Washington-Orlando,1367156
Phoenix-Toronto,3561564
Miami-Milwaukee,2381973
Dallas-Golden State,2507595
Charlotte-Portland,4441926
Brooklyn-Philadelphia,156586
Phoenix-Chicago,2819579
Golden State-Sacramento,310513
Minnesota-Houston,2146032
Detroit-San Antonio,2349598
New Orleans-Dallas,815155
Miami-Toronto,2400021
Memphis-Orlando,1334185
Milwaukee-Washington,1282842
Phoenix-San Antonio,1577855
Charlotte-Denver,2516152
Cleveland-Brooklyn,751525
Chicago-New York,1271910
Memphis-Indiana,879052
Boston-Philadelphia,495218
Los Angeles-Utah,1107435
Miami-Dallas,2116804
Sacramento-New Orleans,3590275
Golden State-Dallas,2508648
Portland-Denver,1997443
Detroit-Chicago,455062
Milwaukee-Minnesota,795566
Miami-Oklahoma City,2448832
Philadelphia-Brooklyn,158463
Atlanta-New York,1393379
Cleveland-Toronto,469477
San Antonio-Boston,3288027
Charlotte-Orlando,844900
Memphis-Phoenix,2291822
Utah-Los Angeles,1108029
Golden State-Milwaukee,3515248
New Orleans-Oklahoma City,1139357
