Feature,Importance
home_RestDays,0.07669884020079222
away_RestDays,0.07410548964899434
home_WS_p1,0.0023769806809124613
home_WS/48_p1,0.002271233784462335
away_WS/48_p1,0.002247381601412511
home_WS/48_p3,0.0022255099355677345
home_WS_p3,0.002193327789678126
away_WS_p1,0.002078454886601854
away_DWS_p3,0.0020695929140640505
away_WS_p3,0.0020263631346403447
away_WS/48_p3,0.0018866442442260938
away_DWS_p2,0.0018585577311241452
home_DWS_p3,0.0018559007557251283
home_WS/48_p2,0.0018136501215440535
away_WS/48_p2,0.0017614012267002882
home_WS_p2,0.0017358411007354756
home_DWS_p5,0.0016605838008955198
away_WS_p2,0.0016579679950020252
home_VORP_p1,0.001635922925975793
home_DWS_p1,0.0015934896242889
home_OWS_p1,0.0015789651761093063
away_DWS_p9,0.0015035801301068977
away_WS/48_p7,0.0014959635560413194
away_DWS_p1,0.0014878224107805831
away_WS/48_p6,0.0014640906333711224
home_DWS_p4,0.0014632471349804099
home_BPM_p1,0.0014337030812288426
away_DWS_p4,0.0013832204715116176
away_WS/48_p4,0.001377254774487411
away_TS%_p1,0.0013768571487733576
away_BPM_p1,0.0013635560909468548
home_DWS_p2,0.0013497243787277088
home_DWS_p9,0.0013465915485323806
home_WS_p5,0.0013269710794789795
home_WS/48_p9,0.0013214933489917667
home_WS/48_p5,0.0013131509636719139
home_DBPM_p1,0.001306651823956325
home_WS/48_p4,0.0013040290841103783
home_OWS_p3,0.0012994446913128224
away_DBPM_p9,0.0012886633639825932
away_DWS_p5,0.0012740887027034714
away_VORP_p1,0.0012686359483673167
home_OWS_p2,0.0012588923377907105
away_VORP_p3,0.001248531904555536
away_VORP_p2,0.0012484516599732326
away_DWS_p7,0.00124718000172978
home_Population,0.0012276002527486553
away_DBPM_p3,0.0012183370346366897
away_WS_p7,0.0011912296142315044
home_average_overall_pick,0.0011911337258994875
away_WS_p6,0.0011823032352806164
away_BPM_p3,0.0011758943784253369
home_WS_p4,0.0011751107196394267
home_DWS_p7,0.0011743106465651764
away_PTS_per_game_p1,0.0011739570866599798
away_WS/48_p11,0.0011736425424778312
away_DBPM_p7,0.0011707694819549585
away_WS_p4,0.001154461013192032
home_VORP_p3,0.001149059219242468
home_MP_p4,0.0011479177329686806
away_OWS_p1,0.001146660358128844
away_TS%_p2,0.0011460542750417475
home_MP_p3,0.0011363723401821525
away_USG%_p1,0.0011330790455058163
away_OWS_p3,0.001124019933101534
away_TS%_p3,0.001123590656455776
away_Population,0.0011114820671954597
away_average_overall_pick,0.0011101228578844487
home_VORP_p2,0.0011087803814249888
away_WS/48_p9,0.0011006915435545087
home_OBPM_p1,0.0010980526495578354
away_TS%_p7,0.001096246330962381
home_MP_p15,0.0010860909675948084
away_TS%_p6,0.001081755788558491
away_Rk_p8,0.001078622837086495
home_WS/48_p7,0.0010743195619124075
away_TS%_p4,0.001072142354719868
away_DBPM_p1,0.0010701425946148862
away_WS/48_p8,0.0010638220232707463
away_BPM_p2,0.0010632719793296703
away_DBPM_p6,0.0010587743276792869
home_TS%_p1,0.001053612454283702
home_OBPM_p3,0.0010530211661412365
home_PER_p1,0.0010505507440057625
away_BPM_p6,0.0010488171566145252
away_Rk_p11,0.001043698974520178
home_BPM_p3,0.001034979886066621
away_FG_pct_p7,0.001034313308725771
away_PER_p1,0.0010340959550335165
home_WS/48_p6,0.0010315918914930514
home_DBPM_p7,0.0010311890277148938
away_FG_pct_p1,0.0010303450008288177
away_OBPM_p2,0.0010286871716035668
away_Rk_p14,0.0010274260211405343
away_USG%_p3,0.0010256689732722271
away_3PAr_p2,0.001024898633254789
away_FTr_p14,0.0010203710186855001
away_WS/48_p13,0.0010191361238356064
home_DBPM_p3,0.001017855004584979
away_BPM_p7,0.0010138753499047896
away_WS_p5,0.001011716697200098
away_DBPM_p12,0.0010115530794819483
away_FTr_p9,0.0010113107927327044
away_DWS_p8,0.0010099493789262482
away_TS%_p11,0.0010090362132892077
away_FTr_p12,0.0010046531379014304
away_DRB%_p1,0.001003415942839156
away_USG%_p2,0.0010005916867191788
away_OWS_p2,0.0009994430964427948
home_BPM_p2,0.0009987977130178204
away_DWS_p6,0.0009960339047117741
home_WS_p9,0.0009940473309750734
away_FTr_p7,0.0009934623364449638
away_FTr_p8,0.0009926107482396797
home_FTr_p2,0.0009922773786147823
away_FG_pct_p9,0.0009917493764624262
away_USG%_p7,0.0009900154889358665
away_AST%_p11,0.0009888084367930118
away_DBPM_p11,0.0009886162481683156
away_BPM_p9,0.0009857919207484022
away_FG_pct_p10,0.0009831082716568072
away_Rk_p2,0.0009759745399508093
away_WS/48_p10,0.0009746652228081887
away_USG%_p9,0.0009731209382331711
home_FTr_p3,0.0009718835482032569
home_FG_pct_p2,0.0009703261750679613
away_PTS_per_game_p2,0.0009700665039968702
away_AST%_p4,0.0009696086509946623
away_PTS_per_game_p3,0.0009695340845082358
away_DBPM_p2,0.0009667595779520323
away_GS_p4,0.0009651745414199836
home_DWS_p6,0.0009644524887252495
away_PER_p3,0.0009620218997876757
away_DRB%_p12,0.0009616000874682262
away_FG_pct_p2,0.0009615696731033161
away_MP_p4,0.0009611194689003277
home_MP_p2,0.0009601744838742018
away_OWS_p6,0.0009561491436558985
away_OBPM_p3,0.0009555733993463808
away_USG%_p6,0.0009544445953134137
away_FTr_p3,0.0009542223203858763
away_Rk_p15,0.0009538440639628729
away_MP_p8,0.0009527250603138913
away_Rk_p6,0.0009522556568903399
away_PER_p7,0.0009517973913683292
home_FG_pct_p1,0.0009515438679177011
away_TOV%_p13,0.0009515035447968862
away_VORP_p4,0.0009508799740942815
away_FTr_p10,0.000948540348925088
away_3P_pct_p1,0.0009480689296217669
away_3PAr_p6,0.0009480111482184059
away_WS/48_p14,0.0009477386701351942
away_FG_pct_p12,0.0009477122161705258
home_AST%_p7,0.0009467275314082438
home_MP_p14,0.0009460926426573243
away_3PAr_p10,0.0009439713307205022
away_DBPM_p5,0.0009436660613160134
away_TOV%_p9,0.0009429573371510216
away_OBPM_p1,0.0009420474140185734
home_WS_p7,0.000941519014496738
away_Rk_p13,0.0009410991726552142
away_TOV%_p10,0.0009409585925246992
away_USG%_p12,0.000940800405955045
away_FTr_p4,0.0009400297460386807
away_FG_pct_p4,0.0009395433039152609
away_FTr_p13,0.0009387544232675831
home_OWS_p5,0.0009386329943415373
away_DRB%_p3,0.0009363553205970606
away_TS%_p5,0.0009360538412736711
home_BPM_p6,0.0009350790923329135
away_USG%_p5,0.0009342659928632852
away_OBPM_p4,0.0009339804645209971
away_TS%_p13,0.0009324932695610621
away_AST%_p2,0.000931022003280348
away_AST%_p5,0.0009306379570451214
away_DRB%_p4,0.0009300092601314722
home_DBPM_p5,0.0009274320210114834
away_AST_per_game_p2,0.0009268318943828152
away_FTr_p2,0.0009261549194703827
away_TRB%_p1,0.0009250993081184134
away_TS%_p14,0.0009233734807288454
away_AST%_p6,0.0009232430755291321
away_MP_p11,0.0009224176393732088
home_FG_pct_p9,0.0009222811940007568
away_TS%_p12,0.0009221999544469391
away_BPM_p4,0.0009208387242488124
away_TRB%_p3,0.0009200672188702381
away_FG_pct_p3,0.0009199332886090567
home_BPM_p7,0.0009197761354527485
home_DRB%_p11,0.0009196932248974474
home_PTS_per_game_p8,0.0009196636345618031
home_PTS_per_game_p2,0.0009187349518199169
away_TRB%_p6,0.0009184327209075477
home_OWS_p4,0.0009184255103473013
away_FG_pct_p11,0.0009179564555075022
away_PTS_per_game_p5,0.0009175725713518457
away_FG_pct_p14,0.0009171676885955489
away_MP_p5,0.0009163096490979534
away_MP_p6,0.0009161015957490497
away_DRB%_p10,0.000914269148482657
home_AST%_p6,0.0009142645131192037
away_3P_pct_p3,0.0009131855202378635
away_PTS_per_game_p4,0.0009127112630389654
home_ORB%_p13,0.0009119689063107973
away_USG%_p8,0.0009115198428196782
away_TOV%_p2,0.0009106905789146757
home_TOV%_p2,0.0009096904065581955
away_PTS_per_game_p10,0.0009096245702396133
away_OBPM_p7,0.000909519353653976
away_DBPM_p8,0.0009092213078484186
away_PER_p2,0.0009088805659749413
away_PER_p4,0.0009084912858794815
away_3PAr_p3,0.0009070355114904273
away_TOV%_p1,0.0009070058748519168
away_ORB%_p3,0.0009068146106396346
away_TRB%_p7,0.0009065244275770719
away_FG_pct_p5,0.0009064079717535266
